,mode,arch,dataset,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,train_exc_limit,pretrained,cv_rep,val_size,max_epochs,batch_size,learning_rate,random_state,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,val_mse,val_r2,eq_wdw_length
0,df,cnn,ArrowHead,False,10.0,False,1.0,1.0,32.0,False,0.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=101-step=57630.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4676046967506408,0.4676046967506408,0.1695623397827148,0.4634880125522613,0.4634880125522613,0.1372204571962356,32.0,2.0,4.0,200.0,384.0,384.0,68.98238663934171,30569.60109947063,30638.58348610997,,,10.0
1,df,cnn,ArrowHead,False,10.0,False,1.0,1.0,32.0,False,1.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=116-step=66105.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4578093290328979,0.4578093290328979,0.1679787635803222,0.4877363443374634,0.4877363443374634,0.1374012529850006,32.0,2.0,4.0,200.0,384.0,384.0,83.24440925568342,31746.921848824248,31830.16625807993,,,10.0
2,df,cnn,ArrowHead,False,10.0,False,1.0,1.0,32.0,False,2.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=115-step=65540.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4630805552005768,0.4630805552005768,0.1724950671195984,0.4515531361103058,0.4515531361103058,0.1418399363756179,32.0,2.0,4.0,200.0,384.0,384.0,71.12360141985118,35739.75066458434,35810.87426600419,,,10.0
3,df,cnn,ArrowHead,False,10.0,False,1.0,1.0,32.0,False,3.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=104-step=59325.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5162910223007202,0.5162910223007202,0.1757818311452865,0.4809221029281616,0.4809221029281616,0.1512940227985382,32.0,2.0,4.0,200.0,384.0,384.0,100.13560253195465,37059.353541035205,37159.48914356716,,,10.0
4,df,cnn,ArrowHead,False,10.0,False,1.0,1.0,32.0,False,4.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=72-step=41245.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.4670236110687256,0.4670236110687256,0.1826045662164688,0.4414712488651275,0.4414712488651275,0.134159579873085,32.0,2.0,4.0,200.0,384.0,384.0,57.30721505405381,17048.680783228017,17105.98799828207,,,10.0
5,df,cnn,ArrowHead,False,10.0,False,3.0,1.0,32.0,False,0.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=107-step=61020.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4698605239391327,0.4698605239391327,0.1674662977457046,0.4840439260005951,0.4840439260005951,0.1449417024850845,32.0,2.0,4.0,200.0,384.0,384.0,66.05694452114403,29959.57207835093,30025.629022872075,,,30.0
6,df,cnn,ArrowHead,False,10.0,False,3.0,1.0,32.0,False,1.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=119-step=67800.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4503487348556518,0.4503487348556518,0.1745954155921936,0.5162351131439209,0.5162351131439209,0.1488955169916153,32.0,2.0,4.0,200.0,384.0,384.0,87.32600864395499,39185.930971311405,39273.25697995536,,,30.0
7,df,cnn,ArrowHead,False,10.0,False,3.0,1.0,32.0,False,2.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=116-step=66105.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4929010272026062,0.4929010272026062,0.1730792671442031,0.4851601719856262,0.4851601719856262,0.1385867297649383,32.0,2.0,4.0,200.0,384.0,384.0,65.84154630638659,31480.07719863765,31545.91874494404,,,30.0
8,df,cnn,ArrowHead,False,10.0,False,3.0,1.0,32.0,False,3.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=115-step=65540.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5220856666564941,0.5220856666564941,0.1858888268470764,0.4800972640514374,0.4800972640514374,0.1511377543210983,32.0,2.0,4.0,200.0,384.0,384.0,59.59178261831403,21192.084006588902,21251.67578920722,,,30.0
9,df,cnn,ArrowHead,False,10.0,False,3.0,1.0,32.0,False,4.0,0.25,120.0,128.0,0.0001,0.0,120.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=67-step=38420.ckpt,416439.0,416439.0,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5155678987503052,0.5155678987503052,0.1869465261697769,0.477226972579956,0.477226972579956,0.1459812819957733,32.0,2.0,4.0,200.0,384.0,384.0,56.47732658311725,17145.528489505872,17202.00581608899,,,30.0
