mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=91-step=51980.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5293995141983032,0.5293995141983032,0.195458322763443,0.5411050319671631,0.5411050319671631,0.1551292091608047,32,32,2,4,200,384,384,56.16528254374862,17166.619013067335,17222.784295611084,
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=103-step=58760.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6079784035682678,0.6079784035682678,0.2144144773483276,0.5751113295555115,0.5751113295555115,0.1660771667957306,32,32,2,4,200,384,384,111.33347872272134,29892.27664920315,30003.61012792588,True
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=107-step=61020.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6114689111709595,0.6114689111709595,0.2101181000471115,0.5363725423812866,0.5363725423812866,0.1614744514226913,32,32,2,4,200,384,384,59.438682209700346,34367.91002743319,34427.34870964289,False
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=31-step=2240.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4350889027118683,0.4350889027118683,0.1238513365387916,0.2955479025840759,0.2955479025840759,0.1170807853341102,32,4,2,4,48,48,384,58.54690418764949,648.1671130210161,706.7140172086656,
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=110-step=7770.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6014760136604309,0.6014760136604309,0.1648724973201751,0.3689947128295898,0.3689947128295898,0.1296453773975372,32,4,2,4,48,48,384,56.79566999152303,680.2769510261714,737.0726210176945,False
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=114-step=8050.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6380409002304077,0.6380409002304077,0.1820091903209686,0.3634610474109649,0.3634610474109649,0.1299438923597335,32,4,2,4,48,48,384,117.8485530167818,1181.0594191849232,1298.907972201705,True
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=6-step=987.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.348072737455368,0.348072737455368,0.1339285224676132,0.3214598596096039,0.3214598596096039,0.1184905618429184,32,8,2,4,96,96,384,58.50809790566564,1810.257600858808,1868.7656987644727,
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=42-step=6063.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.3499082326889038,0.3499082326889038,0.1353274434804916,0.4432116746902466,0.4432116746902466,0.1256997883319854,32,8,2,4,96,96,384,57.2689013518393,1816.757148060948,1874.026049412787,True
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=5-step=846.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.3417320251464844,0.3417320251464844,0.1346385776996612,0.4104692339897156,0.4104692339897156,0.1250507086515426,32,8,2,4,96,96,384,91.5796896070242,2161.9121736362576,2253.491863243282,False
df,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=118-step=33558.ckpt,416439,416439,training/finetune/ArrowHead_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4740783870220184,0.4740783870220184,0.1419730931520462,0.5169644951820374,0.5169644951820374,0.1485731154680252,32,16,2,4,192,192,384,57.67766490206122,5342.338172065094,5400.015836967155,False
