mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,False,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=112-step=32544.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6758474707603455,0.6758474707603455,0.3109362125396728,0.745722234249115,0.745722234249115,0.3985974192619324,32,32,2,4,200,384,384,16.49848686903715,5185.042941227555,5201.541428096592,
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=54-step=15840.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7188722491264343,0.7188722491264343,0.3302814960479736,0.761345386505127,0.761345386505127,0.4084677398204803,32,32,2,4,200,384,384,16.07406597584486,5222.869163431227,5238.943229407072,False
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=89-step=25920.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7288950681686401,0.7288950681686401,0.3470385670661926,0.7636556029319763,0.7636556029319763,0.4148196280002594,32,32,2,4,200,384,384,26.39608839899301,10684.892024092376,10711.28811249137,True
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=117-step=4248.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7243421077728271,0.7243421077728271,0.2918546199798584,0.6501725912094116,0.6501725912094116,0.3750912547111511,32,4,2,4,48,48,384,16.95712722465396,236.6365666463971,253.59369387105107,False
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,False,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=89-step=3240.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6552631855010986,0.6552631855010986,0.2887687981128692,0.5288509130477905,0.5288509130477905,0.3421463370323181,32,4,2,4,48,48,384,21.23935979604721,382.1576683521271,403.3970281481743,
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=108-step=3924.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7263157963752747,0.7263157963752747,0.2963502705097198,0.5878678560256958,0.5878678560256958,0.3468976318836212,32,4,2,4,48,48,384,27.58598865941167,462.5413194745779,490.1273081339896,True
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=65-step=4752.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7012434601783752,0.7012434601783752,0.3069021105766296,0.6906027793884277,0.6906027793884277,0.3660995662212372,32,8,2,4,96,96,384,16.73819461092353,560.2541710585356,576.9923656694591,False
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,False,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=117-step=8496.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6151832342147827,0.6151832342147827,0.2502648830413818,0.6373599171638489,0.6373599171638489,0.3353707492351532,32,8,2,4,96,96,384,31.128075677901503,719.9027591571212,751.0308348350227,
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=111-step=8064.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6986256837844849,0.6986256837844849,0.2924535572528839,0.6877402663230896,0.6877402663230896,0.3610928356647491,32,8,2,4,96,96,384,23.08359517902136,1009.4182640351356,1032.5018592141569,True
df,cnn,CBF,0.25,120,128,False,10,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=27-step=4032.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6976174712181091,0.6976174712181091,0.2638901770114898,0.6849275827407837,0.6849275827407837,0.3856307566165924,32,16,2,4,192,192,384,16.96356975287199,1674.5765153802931,1691.5400851331651,True
