mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,cnn,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=87-step=25344.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7645045518875122,0.7645045518875122,0.4014626741409302,0.7414150834083557,0.7414150834083557,0.3954748511314392,32,32,2,4,200,384,384,20.129263788461685,7861.287357069552,7881.416620858014
df,cnn,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=84-step=24480.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7097457647323608,0.7097457647323608,0.3470763862133026,0.6888288259506226,0.6888288259506226,0.3918051123619079,32,32,2,4,200,384,384,29.772762063890696,11307.036923315376,11336.809685379269
df,cnn,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=72-step=21024.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.745110809803009,0.745110809803009,0.3787774443626404,0.7418457865715027,0.7418457865715027,0.3904579877853393,32,32,2,4,200,384,384,31.535249304026365,11442.797979272902,11474.333228576928
df,cnn,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=109-step=3960.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7256578803062439,0.7256578803062439,0.3069861829280853,0.6370211839675903,0.6370211839675903,0.3835752308368683,32,4,2,4,48,48,384,18.221565332263708,361.275045055896,379.49661038815975
df,cnn,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=0-step=36.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5625,0.5625,0.2646459937095642,0.4006246924400329,0.4006246924400329,0.3345771133899688,32,4,2,4,48,48,384,24.93531046062708,485.3183673284948,510.25367778912187
df,cnn,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=89-step=3240.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7085526585578918,0.7085526585578918,0.2667449712753296,0.5839223861694336,0.5839223861694336,0.3652326166629791,32,4,2,4,48,48,384,21.942741747945547,364.6843625195325,386.627104267478
df,cnn,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=49-step=3600.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7850130796432495,0.7850130796432495,0.3440655171871185,0.726670503616333,0.726670503616333,0.3912363052368164,32,8,2,4,96,96,384,20.312333770096306,991.6775430962444,1011.9898768663406
df,cnn,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=115-step=8352.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7778141498565674,0.7778141498565674,0.3450550138950348,0.7129303812980652,0.7129303812980652,0.38477423787117,32,8,2,4,96,96,384,21.427923876792192,938.4049247279764,959.8328486047684
df,cnn,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=94-step=6840.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.647251307964325,0.647251307964325,0.3424216210842132,0.6508546471595764,0.6508546471595764,0.3701483905315399,32,8,2,4,96,96,384,27.881885714828968,1240.0987297482789,1267.9806154631078
df,cnn,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=36-step=5328.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7775783538818359,0.7775783538818359,0.2849314212799072,0.7160106301307678,0.7160106301307678,0.3896097838878631,32,16,2,4,192,192,384,21.122013300657272,2706.4885987974703,2727.610612098128
df,cnn,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=83-step=12096.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7568537592887878,0.7568537592887878,0.2543283104896545,0.6750560998916626,0.6750560998916626,0.382969319820404,32,16,2,4,192,192,384,28.896588020026684,2849.428209938109,2878.324797958136
df,cnn,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=46-step=6768.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6959856152534485,0.6959856152534485,0.236527532339096,0.6439730525016785,0.6439730525016785,0.3623796999454498,32,16,2,4,192,192,384,26.336299385875463,4958.590924303979,4984.927223689854
df,cnn,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,4,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=87-step=25344-v1.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7645045518875122,0.7645045518875122,0.4014626741409302,0.7414150834083557,0.7414150834083557,0.3954748511314392,32,32,2,4,200,384,384,20.77878000214696,7974.093840509653,7994.8726205118
