mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=106-step=15408.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6418202519416809,0.6418202519416809,0.5387341976165771,0.6724632978439331,0.6724632978439331,0.279643565416336,32,32,2,4,200,256,256,6.188672466669232,1569.5887347911485,1575.7774072578177,
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=79-step=11520.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6612297892570496,0.6612297892570496,0.5562225580215454,0.7070342898368835,0.7070342898368835,0.2775413393974304,32,32,2,4,200,256,256,6.032522602938116,1968.3003648091108,1974.3328874120489,False
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=87-step=12672.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6767248511314392,0.6767248511314392,0.5412108302116394,0.6992009878158569,0.6992009878158569,0.2855194509029388,32,32,2,4,200,256,256,10.867555864155293,2644.2048203088343,2655.0723761729896,True
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=2-step=54.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5960264801979065,0.5960264801979065,0.3209238648414612,0.5018205642700195,0.5018205642700195,0.2630165219306946,32,4,2,4,32,32,256,6.376557460054755,104.73917482048272,111.11573228053749,False
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=81-step=2952.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7859488129615784,0.7859488129615784,0.795475423336029,0.6392581462860107,0.6392581462860107,0.2923284471035003,32,8,2,4,64,64,256,6.433673683553934,222.2091477587819,228.64282144233584,False
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=113-step=4104.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7143794894218445,0.7143794894218445,0.6754619479179382,0.4329558610916137,0.4329558610916137,0.2908492088317871,32,8,2,4,64,64,256,6.047917515039444,226.99185181595385,233.0397693309933,
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=2-step=54.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5986754894256592,0.5986754894256592,0.3117226362228393,0.4872558712959289,0.4872558712959289,0.2628389596939087,32,4,2,4,32,32,256,7.431872738525271,342.94470243901014,350.3765751775354,True
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=7-step=144.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5589404106140137,0.5589404106140137,0.4968178868293762,0.6252896189689636,0.6252896189689636,0.2226896733045578,32,4,2,4,32,32,256,6.975144201889634,375.03649426065385,382.0116384625435,
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=112-step=4068.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7038739323616028,0.7038739323616028,0.7201700210571289,0.5977351069450378,0.5977351069450378,0.2890017628669739,32,8,2,4,64,64,256,8.889818545430899,986.855685390532,995.7455039359628,True
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=116-step=8424.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.627656102180481,0.627656102180481,0.4017657935619354,0.6148566007614136,0.6148566007614136,0.2646929025650024,32,16,2,4,128,128,256,8.724918849766254,2129.400622230023,2138.1255410797894,False
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=85-step=6192.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6900948286056519,0.6900948286056519,0.4583642482757568,0.5949170589447021,0.5949170589447021,0.2412720620632171,32,16,2,4,128,128,256,11.933695752173662,2170.211656730622,2182.145352482796,True
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=85-step=12384.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6613929271697998,0.6613929271697998,0.5633701086044312,0.7057287693023682,0.7057287693023682,0.2762391269207001,32,32,2,4,200,256,256,7.220085304230452,2810.498513922096,2817.7185992263258,False
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=87-step=12672-v1.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6767248511314392,0.6767248511314392,0.5412108302116394,0.6992009878158569,0.6992009878158569,0.2855194509029388,32,32,2,4,200,256,256,7.690008822828531,2813.837297856808,2821.527306679636,True
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=101-step=7344.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6116377711296082,0.6116377711296082,0.4245200753211975,0.6308735609054565,0.6308735609054565,0.25389364361763,32,16,2,4,128,128,256,11.51440092176199,2824.128556828946,2835.642957750708,
