mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,cnn,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=7-step=1152.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6118088364601135,0.6118088364601135,0.4669760763645172,0.5810747146606445,0.5810747146606445,0.2515864372253418,32,32,2,4,200,256,256,12.558219008147717,3039.281292974949,3051.8395119830966
df,cnn,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=16272.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6292611360549927,0.6292611360549927,0.4579956233501434,0.6039479970932007,0.6039479970932007,0.2776454389095306,32,32,2,4,200,256,256,11.83664021268487,3537.5020266883075,3549.3386669009924
df,cnn,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=43-step=6336.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6134399175643921,0.6134399175643921,0.4675957858562469,0.5764791965484619,0.5764791965484619,0.273623377084732,32,32,2,4,200,256,256,6.664177645929158,3445.583010917995,3452.2471885639243
df,cnn,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=34-step=630.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7960264682769775,0.7960264682769775,0.6241589188575745,0.5617344975471497,0.5617344975471497,0.3121649026870727,32,4,2,4,32,32,256,6.84251781925559,214.1532108001411,220.9957286193967
df,cnn,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=39-step=720.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.8834437131881714,0.8834437131881714,0.6382049322128296,0.5147302150726318,0.5147302150726318,0.3069414794445038,32,4,2,4,32,32,256,11.511794093996286,184.73523677885527,196.2470308728516
df,cnn,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=55-step=1008.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.8662251830101013,0.8662251830101013,0.6433895230293274,0.5306190252304077,0.5306190252304077,0.3092351257801056,32,4,2,4,32,32,256,10.685116939246656,193.099333897233,203.7844508364797
df,cnn,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=31-step=1152.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6257386803627014,0.6257386803627014,0.6124971508979797,0.5990480780601501,0.5990480780601501,0.2851860225200653,32,8,2,4,64,64,256,10.770797453820704,404.4441039375961,415.2149013914168
df,cnn,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=15-step=576.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6848325729370117,0.6848325729370117,0.6727179288864136,0.566059410572052,0.566059410572052,0.3505506813526153,32,8,2,4,64,64,256,12.311463933438064,498.1055897325277,510.4170536659658
df,cnn,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=7-step=288.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6710439920425415,0.6710439920425415,0.6717085838317871,0.5914984345436096,0.5914984345436096,0.3727573454380035,32,8,2,4,64,64,256,9.384678795933723,431.8084815740585,441.19316036999226
df,cnn,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,3,120,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=94-step=6840.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6158875226974487,0.6158875226974487,0.4076661467552185,0.6543270349502563,0.6543270349502563,0.2936664223670959,32,16,2,4,128,128,256,11.796418871730566,1184.1088157109916,1195.9052345827222
