mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=116-step=31590.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.470205008983612,0.470205008983612,0.3544517159461975,0.5067257285118103,0.5067257285118103,0.3515489995479584,32,32,2,4,200,768,768,12.98710077116266,4371.704453825019,4384.691554596182,
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=116-step=31590-v1.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6115357875823975,0.6115357875823975,0.3732055127620697,0.6192664504051208,0.6192664504051208,0.3557412922382355,32,32,2,4,200,768,768,13.471190981566906,4332.675157159567,4346.146348141134,False
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=108-step=29430.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6117095351219177,0.6117095351219177,0.3718205392360687,0.6190158128738403,0.6190158128738403,0.3552753329277038,32,32,2,4,200,768,768,20.76181833446026,6991.25488197431,7012.01670030877,True
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=91-step=3128.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.3645251393318176,0.3645251393318176,0.2941537499427795,0.3651597201824188,0.3651597201824188,0.2870460450649261,32,4,2,4,96,96,768,13.532197056338193,202.8388513494283,216.3710484057665,
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=101-step=3468.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5244413614273071,0.5244413614273071,0.3475615978240967,0.295164942741394,0.295164942741394,0.2813483476638794,32,4,2,4,96,96,768,19.762647353112698,416.5839376226068,436.34658497571945,True
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=81-step=5576.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4975626766681671,0.4975626766681671,0.3796585202217102,0.4881190657615661,0.4881190657615661,0.335766851902008,32,8,2,4,192,192,768,13.472855446860194,456.3441518060863,469.8170072529465,False
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=18-step=1292-v1.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.2496518045663833,0.2496518045663833,0.2989685237407684,0.2438854575157165,0.2438854575157165,0.2838667631149292,32,8,2,4,192,192,768,13.66615785472095,460.7140781842172,474.38023603893816,
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=100-step=3434.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5817039012908936,0.5817039012908936,0.3730854988098144,0.3765054941177368,0.3765054941177368,0.3200552761554718,32,4,2,4,96,96,768,22.580781269818544,940.2572239041328,962.8380051739514,False
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=31-step=2176.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4697075188159942,0.4697075188159942,0.3620530664920807,0.4506049156188965,0.4506049156188965,0.3223476409912109,32,8,2,4,192,192,768,22.285253919661045,2157.5918729528785,2179.8771268725395,True
df,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,0,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=52-step=7155.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5203407406806946,0.5203407406806946,0.3497352302074432,0.4944439828395843,0.4944439828395843,0.3321937322616577,32,16,2,4,200,384,768,24.609924897551537,4874.067936129868,4898.67786102742,True
