mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,cnn,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=107-step=29160.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5796560049057007,0.5796560049057007,0.3682887554168701,0.6201854944229126,0.6201854944229126,0.3451219797134399,32,32,2,4,200,768,768,20.287686552852392,6979.83505602926,7000.122742582113
df,cnn,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=114-step=31050.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5016504526138306,0.5016504526138306,0.3458742797374725,0.5332943201065063,0.5332943201065063,0.3345946669578552,32,32,2,4,200,768,768,28.149932723492384,10384.547968685629,10412.69790140912
df,cnn,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=117-step=31860.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5635858178138733,0.5635858178138733,0.3644124269485473,0.6039769649505615,0.6039769649505615,0.345214307308197,32,32,2,4,200,768,768,20.235660012811422,26330.7354791686,26350.971139181405
df,cnn,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=56-step=1938.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3680167496204376,0.3680167496204376,0.3032179176807403,0.2604293823242187,0.2604293823242187,0.280271828174591,32,4,2,4,96,96,768,43.12103220447898,6435.31971835345,6478.440750557929
df,cnn,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=46-step=1598.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3819832503795624,0.3819832503795624,0.3232073187828064,0.3484028577804565,0.3484028577804565,0.2917350828647613,32,4,2,4,96,96,768,43.11646336689592,6438.923166371882,6482.039629738778
df,cnn,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=114-step=3910.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4979050159454345,0.4979050159454345,0.3548285067081451,0.3763309419155121,0.3763309419155121,0.3097798824310303,32,4,2,4,96,96,768,55.37846649810672,6503.370613317937,6558.749079816043
df,cnn,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=42-step=2924.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3461002707481384,0.3461002707481384,0.3165594339370727,0.2700844407081604,0.2700844407081604,0.2853776514530182,32,8,2,4,192,192,768,39.10979260876775,7070.469544891268,7109.579337500036
df,cnn,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=38-step=2652.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4975626766681671,0.4975626766681671,0.3744470775127411,0.4912525117397308,0.4912525117397308,0.3258412182331085,32,8,2,4,192,192,768,39.39822310581803,1736.3796898424623,1775.7779129482806
df,cnn,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=66-step=4556.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5201950073242188,0.5201950073242188,0.3785877823829651,0.4966489672660827,0.4966489672660827,0.3318855762481689,32,8,2,4,192,192,768,43.37642855197191,2003.3433654867115,2046.7197940386832
df,cnn,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=33-step=4590.ckpt,109704,109704,training/finetune/SyntheticControl_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.55267733335495,0.55267733335495,0.3556872606277466,0.5256913900375366,0.5256913900375366,0.3354637622833252,32,16,2,4,200,384,768,16.55617832019925,2107.086014650762,2123.6421929709613
