mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=60-step=34465.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4824433922767639,0.4824433922767639,0.1855682581663131,0.4283032715320587,0.4283032715320587,0.1371584236621856,32,32,2,4,200,384,384,67.1917210817337,234666.0206965208,234733.2124176025,
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=118-step=67235.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5039684176445007,0.5039684176445007,0.1794309467077255,0.4953173995018005,0.4953173995018005,0.147353857755661,32,32,2,4,200,384,384,47.57269278168678,284788.5420055352,284836.1146983169,True
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=110-step=62715.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5047163963317871,0.5047163963317871,0.1934236884117126,0.5189400911331177,0.5189400911331177,0.1625983417034149,32,32,2,4,200,384,384,69.58546024560928,326693.6918550432,326763.2773152888,False
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=103-step=7280.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5732975602149963,0.5732975602149963,0.1156366616487503,0.4359017312526703,0.4359017312526703,0.1001458242535591,32,4,2,4,48,48,384,57.09077453613281,10555.91779006645,10613.008564602584,False
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=75-step=5320.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5088896155357361,0.5088896155357361,0.123328261077404,0.3836673200130462,0.3836673200130462,0.102488063275814,32,4,2,4,48,48,384,75.34517862647772,11670.809464782476,11746.154643408954,
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=106-step=15087.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4129818081855774,0.4129818081855774,0.1297016143798828,0.4782481789588928,0.4782481789588928,0.1247661933302879,32,8,2,4,96,96,384,76.83972273766994,26532.535033028573,26609.374755766243,False
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=86-step=6090.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6222743988037109,0.6222743988037109,0.1661480516195297,0.4557726085186004,0.4557726085186004,0.1174245774745941,32,4,2,4,48,48,384,88.91309973597527,29929.17640509829,30018.089504834265,True
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=6-step=987.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4194894134998321,0.4194894134998321,0.1306439191102981,0.3162460923194885,0.3162460923194885,0.1177627369761467,32,8,2,4,96,96,384,50.50285658985376,33349.97641617805,33400.4792727679,True
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=20-step=5922.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5893318057060242,0.5893318057060242,0.1774674206972122,0.5157579183578491,0.5157579183578491,0.1606134921312332,32,16,2,4,192,192,384,58.11815011128783,37096.595723155886,37154.71387326717,True
df,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=116-step=32994.ckpt,142583,142583,training/finetune/ArrowHead_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst12_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5180161595344543,0.5180161595344543,0.1610737890005111,0.5011129379272461,0.5011129379272461,0.157576099038124,32,16,2,4,192,192,384,88.18045852705836,66231.20212970302,66319.38258823007,False
