mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,False,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=93-step=27072.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7318285703659058,0.7318285703659058,0.4055786430835724,0.6457574963569641,0.6457574963569641,0.3646718561649322,32.0,32.0,2.0,4.0,200.0,384.0,384.0,16.746660215314478,17076.147752310615,17092.89441252593,
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,True,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=7-step=2304-v1.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7373695969581604,0.7373695969581604,0.4250345528125763,0.6891812682151794,0.6891812682151794,0.3963022232055664,32.0,32.0,2.0,4.0,200.0,384.0,384.0,30.66327067045495,20217.898535846733,20248.561806517188,False
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,True,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=15-step=4608.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7667861580848694,0.7667861580848694,0.4125341176986694,0.6939582824707031,0.6939582824707031,0.3871888220310211,32.0,32.0,2.0,4.0,200.0,384.0,384.0,25.4366107955575,114397.45077866688,114422.88738946244,True
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,True,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=69-step=2520.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6927631497383118,0.6927631497383118,0.3051221668720245,0.483149766921997,0.483149766921997,0.2952350080013275,32.0,4.0,2.0,4.0,48.0,48.0,384.0,21.143330294638872,3456.364885218441,3477.5082155130804,True
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,False,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=25-step=1872.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4901832342147827,0.4901832342147827,0.2565211355686188,0.4207900464534759,0.4207900464534759,0.3008171916007995,32.0,8.0,2.0,4.0,96.0,96.0,384.0,22.66589203849435,6978.019385341555,7000.685277380049,
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,True,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=11-step=864.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5667539238929749,0.5667539238929749,0.32234787940979,0.4999591112136841,0.4999591112136841,0.3102424442768097,32.0,8.0,2.0,4.0,96.0,96.0,384.0,21.83395013958216,9733.032134704292,9754.866084843874,True
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,True,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=70-step=5112.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6092932224273682,0.6092932224273682,0.2862635254859924,0.5202420949935913,0.5202420949935913,0.3290247321128845,32.0,8.0,2.0,4.0,96.0,96.0,384.0,21.38495362922549,9856.011657673866,9877.396611303093,False
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,True,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=49-step=1800.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.675000011920929,0.675000011920929,0.2737938463687897,0.406707227230072,0.406707227230072,0.3248445391654968,32.0,4.0,2.0,4.0,48.0,48.0,384.0,25.775128345936537,10345.01077081263,10370.785899158567,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df,res,CBF,0.25,120.0,128.0,False,10.0,6.0,1.0,0.0001,0.0,True,0.0,120.0,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=18-step=2736.ckpt,142583.0,142583.0,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7354764938354492,0.7354764938354492,0.3205562829971313,0.5660207867622375,0.5660207867622375,0.3581771552562713,32.0,16.0,2.0,4.0,192.0,192.0,384.0,20.198489673435688,15869.024506762624,15889.22299643606,False
