mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,res,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=38-step=11232.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6782920360565186,0.6782920360565186,0.3152355551719665,0.722855269908905,0.722855269908905,0.3896086812019348,32,32,2,4,200,384,384,17.46817386522889,16736.686819136143,16754.15499300137
df,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,1,120,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=43-step=12672.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6426010727882385,0.6426010727882385,0.305481493473053,0.6794705986976624,0.6794705986976624,0.3914243280887604,32,32,2,4,200,384,384,26.542913564946502,20442.66682974109,20469.20974330604
df,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=49-step=14400.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6878259181976318,0.6878259181976318,0.3109362721443176,0.7483848333358765,0.7483848333358765,0.4029683768749237,32,32,2,4,200,384,384,32.13914415985346,22989.438245590776,23021.57738975063
df,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=89-step=3240.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6888157725334167,0.6888157725334167,0.2768327295780182,0.5896761417388916,0.5896761417388916,0.332769900560379,32,4,2,4,48,48,384,15.708202347159386,1692.96941607818,1708.6776184253397
df,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,1,120,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=24-step=900-v1.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6480262875556946,0.6480262875556946,0.2529135346412658,0.6015124320983887,0.6015124320983887,0.3522135317325592,32,4,2,4,48,48,384,16.98133109137416,1714.696923624724,1731.6782547160983
df,res,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=56-step=2052.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7368420958518982,0.7368420958518982,0.2975564002990722,0.5895117521286011,0.5895117521286011,0.3191150426864624,32,4,2,4,48,48,384,16.86171788536012,1737.90652914159,1754.76824702695
df,res,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=102-step=7416.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6695026159286499,0.6695026159286499,0.2941325604915619,0.6136419177055359,0.6136419177055359,0.3369037210941314,32,8,2,4,96,96,384,15.688756991177796,3387.645751297474,3403.334508288652
df,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=46-step=3384.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6737565398216248,0.6737565398216248,0.2461784929037094,0.5828903317451477,0.5828903317451477,0.3413999378681183,32,8,2,4,96,96,384,16.740499902516603,4223.00361004658,4239.744109949097
df,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,1,120,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=75-step=5472.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6387434601783752,0.6387434601783752,0.2860765755176544,0.5504211783409119,0.5504211783409119,0.3134045898914337,32,8,2,4,96,96,384,30.57331635802984,4221.880171408877,4252.453487766907
df,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=109-step=15840.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7230744361877441,0.7230744361877441,0.2726400196552276,0.697858452796936,0.697858452796936,0.4004902243614197,32,16,2,4,192,192,384,24.874808128923178,20762.54748292268,20787.4222910516
df,res,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=21-step=3168.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6680809259414673,0.6680809259414673,0.2533278167247772,0.6991637945175171,0.6991637945175171,0.3839030265808105,32,16,2,4,192,192,384,20.455120630562305,22116.970875065774,22137.425995696336
df,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=73-step=21312.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6919817328453064,0.6919817328453064,0.3261363506317138,0.7084850668907166,0.7084850668907166,0.3935813307762146,32,32,2,4,200,384,384,27.648098200559616,39183.27696113288,39210.92505933344
df,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,1,120,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=45-step=6624.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.625,0.625,0.2333687096834182,0.6379767656326294,0.6379767656326294,0.381126344203949,32,16,2,4,192,192,384,31.465558771044016,44329.79786201567,44361.26342078671
df,res,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,1,120,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=52-step=15264.ckpt,142583,142583,training/finetune/CBF_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst6_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6831812262535095,0.6831812262535095,0.3181934058666229,0.7361682057380676,0.7361682057380676,0.40048304200172424,32,32,2,4,200,384,384,15.705995559692383,195894.11405204237,195909.82004760206
