mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,res,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,4,120,training/finetune/ECG200_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=86-step=12528.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7261458039283752,0.7261458039283752,0.5618516206741333,0.5610736608505249,0.5610736608505249,0.3319601416587829,32,32,2,4,200,256,256,10.676504980772734,14281.420151598752,14292.096656579524
df,res,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,4,120,training/finetune/ECG200_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=100-step=14544.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.7108138799667358,0.7108138799667358,0.5540627241134644,0.6166901588439941,0.6166901588439941,0.3368030786514282,32,32,2,4,200,256,256,10.308167852461338,15666.422879591584,15676.731047444046
df,res,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,4,120,training/finetune/ECG200_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=95-step=13824.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6744413375854492,0.6744413375854492,0.5267255902290344,0.5706303119659424,0.5706303119659424,0.3291136920452118,32,32,2,4,200,256,256,13.221814684569836,115095.78302484378,115109.00483952837
df,res,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,4,120,training/finetune/ECG200_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=15-step=288.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5880794525146484,0.5880794525146484,0.4765720069408417,0.4928831458091736,0.4928831458091736,0.2139756232500076,32,4,2,4,32,32,256,6.370436955243349,677.1709330417216,683.5413699969649
df,res,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,4,120,training/finetune/ECG200_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=0-step=18.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.573509931564331,0.573509931564331,0.4008001685142517,0.650446891784668,0.650446891784668,0.2046181261539459,32,4,2,4,32,32,256,6.33534986525774,678.7252944745123,685.0606443397701
df,res,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,4,120,training/finetune/ECG200_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=20-step=378.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6331126093864441,0.6331126093864441,0.4532630741596222,0.6282687783241272,0.6282687783241272,0.2602882981300354,32,4,2,4,32,32,256,6.698920104652643,665.4643243551254,672.1632444597781
df,res,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,4,120,training/finetune/ECG200_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=1-step=72.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6611949801445007,0.6611949801445007,0.6918302774429321,0.4403413832187652,0.4403413832187652,0.2447435855865478,32,8,2,4,64,64,256,6.758354105055332,1311.7174836322663,1318.475837737322
df,res,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,4,120,training/finetune/ECG200_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=10-step=396.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5640183687210083,0.5640183687210083,0.6384631991386414,0.4730018079280853,0.4730018079280853,0.193370059132576,32,8,2,4,64,64,256,10.812497839331629,2746.388022862375,2757.2005207017064
df,res,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,4,120,training/finetune/ECG200_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=2-step=108.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6500328183174133,0.6500328183174133,0.6973825693130493,0.4321352243423462,0.4321352243423462,0.2507885098457336,32,8,2,4,64,64,256,10.277675304561852,2794.395022146404,2804.6726974509656
df,res,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,4,120,training/finetune/ECG200_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=25-step=1872.ckpt,141738,141738,training/finetune/ECG200_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5168355703353882,0.5168355703353882,0.3367248773574829,0.6424777507781982,0.6424777507781982,0.3145098984241485,32,16,2,4,128,128,256,6.527529085054994,2859.61737909168,2866.144908176735
