mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=48-step=13230.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5350938439369202,0.5350938439369202,0.3582887947559356,0.5546829104423523,0.5546829104423523,0.3377458155155182,32,32,2,4,200,768,768,13.16794823296368,9734.7158540776,9747.883802310564
df,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=24-step=6750.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5345726013183594,0.5345726013183594,0.3657668530941009,0.5417327880859375,0.5417327880859375,0.3392924964427948,32,32,2,4,200,768,768,13.06713180989027,10163.908821746709,10176.975953556595
df,res,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=13-step=3780.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4711605310440063,0.4711605310440063,0.3466802537441253,0.5166680812835693,0.5166680812835693,0.3276780545711517,32,32,2,4,200,768,768,19.24593867175281,13506.885121939238,13526.131060610993
df,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=39-step=1360.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4476256966590881,0.4476256966590881,0.3567958772182464,0.3471810221672058,0.3471810221672058,0.3041860163211822,32,4,2,4,96,96,768,28.007566817104816,1912.753548692912,1940.761115510017
df,res,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=68-step=2346.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.2611731886863708,0.2611731886863708,0.3035715520381927,0.2249956429004669,0.2249956429004669,0.2587146461009979,32,4,2,4,96,96,768,23.930149476975203,2270.5031662657857,2294.433315742761
df,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=40-step=1394.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3903631269931793,0.3903631269931793,0.3481805622577667,0.3145400583744049,0.3145400583744049,0.2863231301307678,32,4,2,4,96,96,768,19.0650237724185,2011.417774401605,2030.482798174024
df,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=25-step=1768.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4860724210739136,0.4860724210739136,0.369133859872818,0.4460788667201996,0.4460788667201996,0.3164222240447998,32,8,2,4,192,192,768,20.951065562665462,3633.5021857582033,3654.4532513208687
df,res,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=18-step=1292.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3903203308582306,0.3903203308582306,0.3474262058734894,0.291496217250824,0.291496217250824,0.2926540672779083,32,8,2,4,192,192,768,18.017511900514364,4163.447465281934,4181.464977182448
df,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=47-step=3264.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4954735338687897,0.4954735338687897,0.3640716075897217,0.4589607417583465,0.4589607417583465,0.3198940455913543,32,8,2,4,192,192,768,27.44601108133793,4198.571787215769,4226.017798297107
df,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=25-step=3510.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5401599407196045,0.5401599407196045,0.3535456657409668,0.5444063544273376,0.5444063544273376,0.3346284627914428,32,16,2,4,200,384,768,24.77578343451023,9369.400409050286,9394.176192484796
df,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=41-step=5670.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5081710815429688,0.5081710815429688,0.3548471927642822,0.5428189635276794,0.5428189635276794,0.333039790391922,32,16,2,4,200,384,768,25.127148743718863,9594.560262188315,9619.687410932034
df,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=26-step=7290.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5361362099647522,0.5361362099647522,0.3634873926639557,0.5363856554031372,0.5363856554031372,0.3377305567264557,32,32,2,4,200,768,768,20.42251701653004,17891.50796553865,17911.93048255518
df,res,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=55-step=7560.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4596661925315857,0.4596661925315857,0.3370131552219391,0.4093073904514313,0.4093073904514313,0.3063333630561828,32,16,2,4,200,384,768,23.4380157366395,40732.40743844211,40755.84545417875
df,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=38-step=10530.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5351806879043579,0.5351806879043579,0.3577001988887787,0.5665469169616699,0.5665469169616699,0.3370124399662018,32,32,2,4,200,768,768,18.192035481333733,152355.4538140297,152373.64584951103
