mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=18-step=5130.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3650972843170166,0.3650972843170166,0.3397485017776489,0.3748015761375427,0.3748015761375427,0.3119786381721496,32,32,2,4,200,768,768,17.84811771661043,13770.669364850968,13788.51748256758,
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=64-step=17550.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.4444926977157593,0.4444926977157593,0.3471365571022033,0.4958643019199371,0.4958643019199371,0.3314253389835357,32,32,2,4,200,768,768,21.360702648293227,18066.656460965984,18088.01716361428,False
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=33-step=9180.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.4819318950176239,0.4819318950176239,0.361807256937027,0.5359679460525513,0.5359679460525513,0.3398349285125732,32,32,2,4,200,768,768,22.6731120236218,18826.966828566045,18849.639940589663,True
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=44-step=1530.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.4120111763477325,0.4120111763477325,0.3282800316810608,0.3169837594032287,0.3169837594032287,0.2958890199661255,32,4,2,4,96,96,768,24.757606588304043,2075.156964365393,2099.914570953697,
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=21-step=748.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5307262539863586,0.5307262539863586,0.3627911806106567,0.4574969410896301,0.4574969410896301,0.3259091973304748,32,4,2,4,96,96,768,25.59412224963308,2075.031804636121,2100.625926885754,False
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=106-step=3638.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5202513933181763,0.5202513933181763,0.3583722710609436,0.4171757698059082,0.4171757698059082,0.3115047514438629,32,4,2,4,96,96,768,28.10751986503601,2413.43205422163,2441.539574086666,True
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=14-step=1020.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3649024963378906,0.3649024963378906,0.3073208630084991,0.333362340927124,0.333362340927124,0.3031838238239288,32,8,2,4,192,192,768,21.37450865656137,4172.453759018332,4193.828267674893,
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=103-step=7072.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.4711002707481384,0.4711002707481384,0.3431481122970581,0.438419371843338,0.438419371843338,0.3124955296516418,32,8,2,4,192,192,768,25.244485192000862,4131.074400797486,4156.318885989487,False
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=44-step=3060.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.408077985048294,0.408077985048294,0.326058030128479,0.4613978564739227,0.4613978564739227,0.3152861297130584,32,8,2,4,192,192,768,22.5013392791152,5866.1690175533295,5888.670356832445,True
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=55-step=7560.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.549895703792572,0.549895703792572,0.3607537746429443,0.5345475673675537,0.5345475673675537,0.3375407457351684,32,16,2,4,200,384,768,16.241682179272175,6907.645897585899,6923.887579765171,False
