mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,res,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=3-step=1648.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6824963092803955,0.6824963092803955,0.1638965606689453,0.5821801424026489,0.5821801424026489,0.1627632230520248,32,32,2,4,200,256,256,50.49347670376301,101575.6672750078,101626.16075171158
df,res,Trace,0.25,120,128,False,10,,15,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=25-step=10712.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6879626512527466,0.6879626512527466,0.155779629945755,0.576163649559021,0.576163649559021,0.1295633018016815,32,32,2,4,200,256,256,34.30556267127395,107434.04182830824,107468.34739097951
df,res,Trace,0.25,120,128,False,10,False,15,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=2-step=1236-v1.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7546406984329224,0.7546406984329224,0.1492046266794204,0.641415536403656,0.641415536403656,0.1443134397268295,32,32,2,4,200,256,256,36.40849271416664,108056.13299940526,108092.54149211945
df,res,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=32-step=1683.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.91073077917099,0.91073077917099,0.295136958360672,0.7370794415473938,0.7370794415473938,0.1944995820522308,32,4,2,4,32,32,256,40.593272890895605,9002.785894658417,9043.379167549312
df,res,Trace,0.25,120,128,False,10,False,15,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=43-step=2244.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.9204440116882324,0.9204440116882324,0.2947352826595306,0.6563764810562134,0.6563764810562134,0.1393400728702545,32,4,2,4,32,32,256,34.716579638421535,9615.491676606238,9650.20825624466
df,res,Trace,0.25,120,128,False,10,,15,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=23-step=1224.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.9227567315101624,0.9227567315101624,0.2949315905570984,0.7016996145248413,0.7016996145248413,0.1551974415779113,32,4,2,4,32,32,256,32.74294903129339,19847.85140223801,19880.594351269305
df,res,Trace,0.25,120,128,False,10,,15,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=43-step=4532.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7331499457359314,0.7331499457359314,0.210302472114563,0.7159722447395325,0.7159722447395325,0.1374938040971756,32,8,2,4,64,64,256,92.26116034761073,40823.57061220333,40915.83177255094
df,res,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=98-step=10197.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7294818758964539,0.7294818758964539,0.2331806123256683,0.7296119928359985,0.7296119928359985,0.1681513339281082,32,8,2,4,64,64,256,50.10726433992386,42401.24159298465,42451.34885732457
df,res,Trace,0.25,120,128,False,10,False,15,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=24-step=2575.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.8184319138526917,0.8184319138526917,0.2697473466396332,0.7737979292869568,0.7737979292869568,0.1699209958314895,32,8,2,4,64,64,256,41.465861078351736,42500.147492296994,42541.61335337535
df,res,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=3-step=824.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst15_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7450353503227234,0.7450353503227234,0.1816700845956802,0.4676024913787842,0.4676024913787842,0.1591112166643142,32,16,2,4,128,128,256,69.08282782882452,58960.53805172816,59029.62087955698
