mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=44-step=25425.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.614668607711792,0.614668607711792,0.2072076797485351,0.5579184889793396,0.5579184889793396,0.1488755494356155,32,32,2,4,200,384,384,5.004398244898766,17433.855762241874,17438.860160486773,
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=47-step=27120.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.586245596408844,0.586245596408844,0.2055367678403854,0.5585774183273315,0.5585774183273315,0.1571347564458847,32,32,2,4,200,384,384,6.534114073961973,26646.34834729508,26652.88246136904,True
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=36-step=20905.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6110118627548218,0.6110118627548218,0.2144778370857238,0.5624313354492188,0.5624313354492188,0.1578021943569183,32,32,2,4,200,384,384,6.574730467051268,26952.97828943655,26959.5530199036,False
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=112-step=7910.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6819859147071838,0.6819859147071838,0.1796084195375442,0.4132640361785888,0.4132640361785888,0.1468159556388855,32,4,2,4,48,48,384,8.435109052807093,1234.4747602418065,1242.9098692946136,
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=117-step=8260.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7031197547912598,0.7031197547912598,0.1937274932861328,0.360275000333786,0.360275000333786,0.1365528702735901,32,4,2,4,48,48,384,8.453959845006466,1264.4571276083589,1272.911087453365,False
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=14-step=2115.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4934089779853821,0.4934089779853821,0.1562569439411163,0.4221063554286957,0.4221063554286957,0.1264446675777435,32,8,2,4,96,96,384,4.959952566772699,1911.080371979624,1916.0403245463967,False
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=77-step=10998.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5087602138519287,0.5087602138519287,0.1731237769126892,0.4221063554286957,0.4221063554286957,0.1206606104969978,32,8,2,4,96,96,384,4.979742620140314,1865.10639809072,1870.0861407108605,True
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=111-step=15792.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4717170000076294,0.4717170000076294,0.1304645836353302,0.4324504733085632,0.4324504733085632,0.1082839593291282,32,8,2,4,96,96,384,5.8925156109035015,2655.259877700358,2661.152393311262,
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=115-step=8120.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6977524161338806,0.6977524161338806,0.1855585873126983,0.370084673166275,0.370084673166275,0.1369306445121765,32,4,2,4,48,48,384,12.102820821106434,3338.234093938023,3350.3369147591293,True
gf,cnn,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,0,120,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=109-step=31020.ckpt,416439,416439,training/finetune/ArrowHead_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4635932445526123,0.4635932445526123,0.1362738162279129,0.4389756917953491,0.4389756917953491,0.1284332126379013,32,16,2,4,192,192,384,5.072732742875814,5373.376689493656,5378.449422236532,True
