mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=116-step=31590.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5062543153762817,0.5062543153762817,0.3464291393756866,0.5137438178062439,0.5137438178062439,0.3206279575824737,32,32,2,4,200,768,768,6.801534652709961,6092.779786404222,6099.581321056932,
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=90-step=24570.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5107713937759399,0.5107713937759399,0.3437391519546509,0.5236861705780029,0.5236861705780029,0.3216808438301086,32,32,2,4,200,768,768,5.113612050656229,5345.090139752254,5350.20375180291,False
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=99-step=27000.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5089471936225891,0.5089471936225891,0.3463944792747497,0.5235190987586975,0.5235190987586975,0.3226528465747833,32,32,2,4,200,768,768,6.902880724519491,9276.594945359975,9283.497826084496,True
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=73-step=2516.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4448324143886566,0.4448324143886566,0.3473687469959259,0.3429917991161346,0.3429917991161346,0.2950263619422912,32,4,2,4,96,96,768,9.225640129297972,369.8533964119852,379.07903654128313,
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=96-step=3298.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4825418889522552,0.4825418889522552,0.3606350719928741,0.3798219561576843,0.3798219561576843,0.308546245098114,32,4,2,4,96,96,768,9.309296991676092,452.28646713495255,461.59576412662864,False
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=115-step=3944.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4867318570613861,0.4867318570613861,0.3603720963001251,0.3497992753982544,0.3497992753982544,0.3045010268688202,32,4,2,4,96,96,768,9.717951890081167,362.70400881022215,372.4219607003033,True
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=111-step=7616.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4738858044147491,0.4738858044147491,0.3559180200099945,0.4459918141365051,0.4459918141365051,0.3117022812366485,32,8,2,4,192,192,768,7.362710136920214,901.6752026490868,909.0379127860068,
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=80-step=5508.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4818941652774811,0.4818941652774811,0.3583634197711944,0.4577421844005584,0.4577421844005584,0.3139205276966095,32,8,2,4,192,192,768,8.077945664525032,810.1330519430339,818.210997607559,False
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=91-step=6256.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4717966616153717,0.4717966616153717,0.3583405613899231,0.4358952045440674,0.4358952045440674,0.3147921860218048,32,8,2,4,192,192,768,10.345716658979654,1000.7494758293032,1011.0951924882828,True
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=85-step=11610.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5285118222236633,0.5285118222236633,0.3548330068588257,0.4988720715045929,0.4988720715045929,0.3188146948814392,32,16,2,4,200,384,768,7.522117491811514,2251.630412980914,2259.1525304727256,False
