mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
gf,cnn,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=0-step=412-v1.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5817674398422241,0.5817674398422241,0.1233079731464386,0.59000164270401,0.59000164270401,0.1302727460861206,32,32,2,4,200,256,256,9.474546398967505,27281.73055280745,27291.205099206418
gf,cnn,Trace,0.25,120,128,False,10,False,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=14-step=6180.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4990319907665252,0.4990319907665252,0.170054405927658,0.5151597857475281,0.5151597857475281,0.1387134194374084,32,32,2,4,200,256,256,8.631336499005556,27904.304671108723,27912.93600760773
gf,cnn,Trace,0.25,120,128,False,10,,15,1,0.0001,0,False,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=1-step=824-v1.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5777246356010437,0.5777246356010437,0.1479486525058746,0.5697277784347534,0.5697277784347534,0.1250680983066558,32,32,2,4,200,256,256,8.969454314559698,38208.186966691166,38217.156421005726
gf,cnn,Trace,0.25,120,128,False,10,,15,1,0.0001,0,False,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=16-step=867.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6466234922409058,0.6466234922409058,0.1389492154121399,0.6409989595413208,0.6409989595413208,0.1228470057249069,32,4,2,4,32,32,256,9.04572118073702,907.7972141616046,916.8429353423415
gf,cnn,Trace,0.25,120,128,False,10,False,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=90-step=4641.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5157262086868286,0.5157262086868286,0.1437707692384719,0.5624927878379822,0.5624927878379822,0.1051174625754356,32,4,2,4,32,32,256,6.7877786085009575,1054.2422776259482,1061.0300562344491
gf,cnn,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=2-step=309.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6345713138580322,0.6345713138580322,0.1557446867227554,0.6239899396896362,0.6239899396896362,0.146223247051239,32,8,2,4,64,64,256,4.811552714556456,1294.1834195442498,1298.9949722588062
gf,cnn,Trace,0.25,120,128,False,10,False,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=0-step=103.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5712975859642029,0.5712975859642029,0.1274501830339431,0.5855922698974609,0.5855922698974609,0.1201571077108383,32,8,2,4,64,64,256,5.210120987147093,2286.507973112166,2291.718094099313
gf,cnn,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=8-step=459.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.607308030128479,0.607308030128479,0.1377022862434387,0.6452769041061401,0.6452769041061401,0.1366205066442489,32,4,2,4,32,32,256,12.392002113163471,2884.482101641596,2896.874103754759
gf,cnn,Trace,0.25,120,128,False,10,,15,1,0.0001,0,False,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=4-step=515.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6235671639442444,0.6235671639442444,0.1657781600952148,0.6271419525146484,0.6271419525146484,0.1428636610507965,32,8,2,4,64,64,256,9.40972761809826,3994.884077612311,4004.293805230409
gf,cnn,Trace,0.25,120,128,False,10,,15,1,0.0001,0,False,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=10-step=2266.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5892490148544312,0.5892490148544312,0.1910500526428222,0.5632115006446838,0.5632115006446838,0.1427207440137863,32,16,2,4,128,128,256,4.924024350941181,3892.521127983928,3897.445152334869
gf,cnn,Trace,0.25,120,128,False,10,True,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=3-step=824.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6569276452064514,0.6569276452064514,0.1457294225692749,0.5736825466156006,0.5736825466156006,0.1220007836818695,32,16,2,4,128,128,256,5.585985034704208,5064.451865389943,5070.037850424647
gf,cnn,Trace,0.25,120,128,False,10,False,15,1,0.0001,0,True,0,120,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=71-step=14832.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5517005324363708,0.5517005324363708,0.1336567401885986,0.5207852125167847,0.5207852125167847,0.1440439969301223,32,16,2,4,128,128,256,8.005919951945543,6675.009102381766,6683.015022333711
