mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
gf,res,ArrowHead,0.25,120,128,False,10,False,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=46-step=26555.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5087471604347229,0.5087471604347229,0.197255402803421,0.4971145689487457,0.4971145689487457,0.1671928316354751,32,32,2,4,200,384,384,6.352808605879545,164230.99316664413,164237.34597525
gf,res,ArrowHead,0.25,120,128,False,10,True,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=79-step=45200.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5313525795936584,0.5313525795936584,0.2064626365900039,0.4648255705833435,0.4648255705833435,0.1617738157510757,32,32,2,4,200,384,384,6.456990391016007,167706.09570728242,167712.55269767344
gf,res,ArrowHead,0.25,120,128,False,10,,12,1,0.0001,0,False,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=27-step=15820.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5487222075462341,0.5487222075462341,0.1978895515203476,0.4816389977931976,0.4816389977931976,0.1672232449054718,32,32,2,4,200,384,384,9.808559969067574,226374.4079118371,226384.21647180617
gf,res,ArrowHead,0.25,120,128,False,10,True,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=117-step=8260.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5971150398254395,0.5971150398254395,0.1605574935674667,0.3940638899803161,0.3940638899803161,0.1151818633079528,32,4,2,4,48,48,384,4.8941783010959625,6346.580925896764,6351.47510419786
gf,res,ArrowHead,0.25,120,128,False,10,False,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=74-step=5250.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6876887083053589,0.6876887083053589,0.1626273989677429,0.4972750842571258,0.4972750842571258,0.1194812282919883,32,4,2,4,48,48,384,4.81926803290844,6479.513076677918,6484.332344710827
gf,res,ArrowHead,0.25,120,128,False,10,False,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=10-step=1551-v1.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.3979642987251282,0.3979642987251282,0.1308213323354721,0.3211678862571716,0.3211678862571716,0.1256361156702041,32,8,2,4,96,96,384,5.280186699703336,16052.429730977865,16057.709917677566
gf,res,ArrowHead,0.25,120,128,False,10,,12,1,0.0001,0,False,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=84-step=11985.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.465209424495697,0.465209424495697,0.1394518166780471,0.4857142865657806,0.4857142865657806,0.1342494785785675,32,8,2,4,96,96,384,5.310421012341976,16294.2350917086,16299.545512720942
gf,res,ArrowHead,0.25,120,128,False,10,True,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=11-step=1692.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4109794795513153,0.4109794795513153,0.1337773948907852,0.3267570436000824,0.3267570436000824,0.1237782090902328,32,8,2,4,96,96,384,5.105002924799919,16330.334329288453,16335.439332213253
gf,res,ArrowHead,0.25,120,128,False,10,,12,1,0.0001,0,False,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=66-step=4690.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7520965933799744,0.7520965933799744,0.1771775186061859,0.5044018030166626,0.5044018030166626,0.1280130743980407,32,4,2,4,48,48,384,11.430359117686749,49134.76314080134,49146.19349991903
gf,res,ArrowHead,0.25,120,128,False,10,False,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=27-step=7896.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5537987947463989,0.5537987947463989,0.1525098383426666,0.5623348951339722,0.5623348951339722,0.1603219956159591,32,16,2,4,192,192,384,8.493233054876328,63219.15346878767,63227.64670184255
gf,res,ArrowHead,0.25,120,128,False,10,True,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=74-step=21150.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6018972992897034,0.6018972992897034,0.1790220737457275,0.5476482510566711,0.5476482510566711,0.1695526540279388,32,16,2,4,192,192,384,8.352780863642693,65490.79555526748,65499.148336131126
gf,res,ArrowHead,0.25,120,128,False,10,,12,1,0.0001,0,False,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=9-step=2820.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6267787218093872,0.6267787218093872,0.1695917844772339,0.5577167272567749,0.5577167272567749,0.1618665307760238,32,16,2,4,192,192,384,10.596198368817568,71738.22445993125,71748.82065830007
gf,res,ArrowHead,0.25,120,128,False,10,True,12,1,0.0001,0,True,1,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=79-step=45200-v1.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5313525795936584,0.5313525795936584,0.20646263659000397,0.4648255705833435,0.4648255705833435,0.16177381575107574,32,32,2,4,200,384,384,9.339816819876432,134162.12935311347,134171.46916993335
