mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=48-step=27685.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6453770995140076,0.6453770995140076,0.2187883704900741,0.5784859657287598,0.5784859657287598,0.1854197978973388,32,32,2,4,200,384,384,8.582978896796703,152958.6532700248,152967.2362489216,
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=93-step=53110.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5896114706993103,0.5896114706993103,0.2209154367446899,0.4909842312335968,0.4909842312335968,0.1762270629405975,32,32,2,4,200,384,384,10.441473092883824,178498.46821839735,178508.90969149023,True
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=4-step=2825.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5709121227264404,0.5709121227264404,0.1830417960882187,0.5172626972198486,0.5172626972198486,0.1558840274810791,32,32,2,4,200,384,384,13.45631442964077,197618.4854749925,197631.94178942216,False
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=22-step=1610.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5608856081962585,0.5608856081962585,0.1648721843957901,0.5246918797492981,0.5246918797492981,0.1677886545658111,32,4,2,4,48,48,384,5.028130900114775,6378.5142935067415,6383.542424406856,False
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=23-step=1680.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5303589105606079,0.5303589105606079,0.1698092669248581,0.5236857533454895,0.5236857533454895,0.1710739582777023,32,4,2,4,48,48,384,8.436747744679451,13097.285301905124,13105.722049649805,True
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=15933.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5387952327728271,0.5387952327728271,0.1620990186929702,0.5280083417892456,0.5280083417892456,0.164972573518753,32,8,2,4,96,96,384,5.039524398744106,14791.448300030082,14796.487824428828,
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=30-step=2170.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6460919380187988,0.6460919380187988,0.1685508787631988,0.4378301203250885,0.4378301203250885,0.1803359091281891,32,4,2,4,48,48,384,8.801041163504124,15542.037138719112,15550.838179882616,
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=19-step=2820.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5010846257209778,0.5010846257209778,0.146252766251564,0.4686548411846161,0.4686548411846161,0.1552529782056808,32,8,2,4,96,96,384,9.940181028097868,26530.813050996512,26540.75323202461,False
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,True,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=13-step=1974.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5726681351661682,0.5726681351661682,0.1632598638534546,0.422273188829422,0.422273188829422,0.1564549207687378,32,8,2,4,96,96,384,9.963721092790363,29293.449422556907,29303.413143649697,True
gf,res,ArrowHead,0.25,120,128,False,10,12,1,0.0001,0,False,3,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=31866.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5437297224998474,0.5437297224998474,0.1634089350700378,0.5083522200584412,0.5083522200584412,0.1722756177186966,32,16,2,4,192,192,384,5.459636807441711,34046.31605077535,34051.77568758279,
