mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
gf,res,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,3,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=7-step=2304.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6310299634933472,0.6310299634933472,0.3841496706008911,0.6605191826820374,0.6605191826820374,0.3346029222011566,32,32,2,4,200,384,384,8.348047327250242,35015.03077273071,35023.37882005796
gf,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,3,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=5-step=1728.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6205182671546936,0.6205182671546936,0.3877273797988891,0.614471971988678,0.614471971988678,0.3160694241523742,32,32,2,4,200,384,384,6.821469467133284,35462.22449923679,35469.045968703926
gf,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,3,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=8-step=2592.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6307855248451233,0.6307855248451233,0.390150636434555,0.6321703791618347,0.6321703791618347,0.3296743035316467,32,32,2,4,200,384,384,8.685746867209673,35574.72254040465,35583.40828727186
gf,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,3,120,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=19-step=720.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6881579160690308,0.6881579160690308,0.2761434912681579,0.6186092495918274,0.6186092495918274,0.3466916978359222,32,4,2,4,48,48,384,10.384238611906769,4190.038015693426,4200.422254305333
gf,res,CBF,0.25,120,128,False,10,True,6,1,0.0001,0,True,3,120,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=28-step=1044.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7276315689086914,0.7276315689086914,0.3076284527778625,0.5974025726318359,0.5974025726318359,0.352669209241867,32,4,2,4,48,48,384,8.946803513914347,4218.482246171683,4227.429049685597
gf,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,3,120,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=16-step=1224.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6789921522140503,0.6789921522140503,0.2980475425720215,0.6880673766136169,0.6880673766136169,0.3819493949413299,32,8,2,4,96,96,384,11.822273019701242,7851.1890550889075,7863.011328108609
gf,res,CBF,0.25,120,128,False,10,,6,1,0.0001,0,False,3,120,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=11-step=1728.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6432767510414124,0.6432767510414124,0.2985787987709045,0.6271262764930725,0.6271262764930725,0.330363392829895,32,16,2,4,192,192,384,4.636385882273316,7523.717086993158,7528.353472875431
gf,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,3,120,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=28-step=1044-v1.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.741447389125824,0.741447389125824,0.2878759503364563,0.5881966352462769,0.5881966352462769,0.3388160467147827,32,4,2,4,48,48,384,11.404544427990912,8805.823289755732,8817.227834183723
gf,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,3,120,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=19-step=1440.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6839005351066589,0.6839005351066589,0.2901318371295929,0.66802978515625,0.66802978515625,0.3751004040241241,32,8,2,4,96,96,384,7.282583061605692,9713.43577158451,9720.718354646116
gf,res,CBF,0.25,120,128,False,10,False,6,1,0.0001,0,True,3,120,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=12-step=1872.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6719973683357239,0.6719973683357239,0.3128535747528076,0.6489496231079102,0.6489496231079102,0.3452228307723999,32,16,2,4,192,192,384,6.535295870155096,14365.060624215752,14371.595920085909
