mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
gf,res,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=23-step=3456.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7064100503921509,0.7064100503921509,0.5607205033302307,0.6471356153488159,0.6471356153488159,0.3347524404525757,32,32,2,4,200,256,256,5.095920755062252,6177.129357738886,6182.225278493948
gf,res,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=61-step=8928.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6961343884468079,0.6961343884468079,0.5487087965011597,0.6752310991287231,0.6752310991287231,0.3303228616714477,32,32,2,4,200,256,256,4.610551651567221,5870.654032476246,5875.264584127814
gf,res,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=51-step=7488.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6814548969268799,0.6814548969268799,0.5537360310554504,0.6665621995925903,0.6665621995925903,0.3069250285625458,32,32,2,4,200,256,256,7.663359995931387,10920.381749652326,10928.045109648256
gf,res,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=98-step=1782.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6675496697425842,0.6675496697425842,0.5314011573791504,0.6487917900085449,0.6487917900085449,0.2440249025821685,32,4,2,4,32,32,256,4.862585853785276,668.4342614803463,673.2968473341316
gf,res,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=114-step=2070.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6662251949310303,0.6662251949310303,0.5773149728775024,0.6895067691802979,0.6895067691802979,0.2770664691925049,32,4,2,4,32,32,256,4.882054932415485,757.0949569456279,761.9770118780434
gf,res,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=107-step=1944.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6423841118812561,0.6423841118812561,0.5278803110122681,0.6087388396263123,0.6087388396263123,0.2490105032920837,32,4,2,4,32,32,256,6.701964721083641,1147.2036150172353,1153.905579738319
gf,res,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=44-step=1620.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6323046684265137,0.6323046684265137,0.5906241536140442,0.44887575507164,0.44887575507164,0.2749415338039398,32,8,2,4,64,64,256,5.091398295015097,1412.7089474070815,1417.8003457020968
gf,res,ECG200,0.25,120,128,False,10,,5,1,0.0001,0,False,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=107-step=7776.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5998692512512207,0.5998692512512207,0.3800764381885528,0.5493993759155273,0.5493993759155273,0.2998164296150207,32,16,2,4,128,128,256,4.827326286584139,2808.619520686567,2813.446846973151
gf,res,ECG200,0.25,120,128,False,10,False,5,1,0.0001,0,True,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=48-step=3528.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6057535409927368,0.6057535409927368,0.3933760225772857,0.579962432384491,0.579962432384491,0.3034270703792572,32,16,2,4,128,128,256,4.833913248032332,2878.5575405545533,2883.3914538025856
gf,res,ECG200,0.25,120,128,False,10,True,5,1,0.0001,0,True,0,120,training/finetune/ECG200_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=29-step=1080.ckpt,141738,141738,training/finetune/ECG200_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6697307825088501,0.6697307825088501,0.6537688374519348,0.4798949658870697,0.4798949658870697,0.2880728244781494,32,8,2,4,64,64,256,7.545016665011644,5836.214353613555,5843.759370278567
