mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,res,ECG5000,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=60-step=25620.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3441424369812011,0.3441424369812011,0.2337829172611236,0.254492849111557,0.254492849111557,0.1560412943363189,32,32,2,4,200,512,512,8.29699007794261,65807.48828803375,65815.7852781117,
gf,res,ECG5000,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=41-step=17640.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4220757484436035,0.4220757484436035,0.2579156756401062,0.5481757521629333,0.5481757521629333,0.2049905508756637,32,32,2,4,200,512,512,10.406033832579851,58064.18419389054,58074.59022772312,
gf,res,ECG5000,0.25,120,128,False,10,5,1,0.0001,0,False,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=86-step=36540.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4025241434574127,0.4025241434574127,0.2557030916213989,0.4480661153793335,0.4480661153793335,0.1883707046508789,32,32,2,4,200,512,512,10.14177704975009,58907.76760908961,58917.90938613936,
gf,res,ECG5000,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=74-step=31500.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4022442996501922,0.4022442996501922,0.2382419109344482,0.3747720718383789,0.3747720718383789,0.1738666594028473,32,32,2,4,200,512,512,15.150776121765375,130464.90549381076,130480.05626993254,
gf,res,ECG5000,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=35-step=15120.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4135850667953491,0.4135850667953491,0.2520377039909363,0.5147337913513184,0.5147337913513184,0.1979421973228454,32,32,2,4,200,512,512,5.300107724964619,36301.619393300265,36306.91950102523,
gf,res,ECG5000,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=46-step=19740.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3878896236419678,0.3878896236419678,0.2563369572162628,0.3646388947963714,0.3646388947963714,0.2053036093711853,32,32,2,4,200,512,512,5.248441331088543,42265.4911364764,42270.739577807486,False
gf,res,ECG5000,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=20-step=8820.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4093397259712219,0.4093397259712219,0.2548199892044067,0.554155170917511,0.554155170917511,0.2137699425220489,32,32,2,4,200,512,512,8.693878695368767,71129.01742469147,71137.71130338684,True
gf,res,ECG5000,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=119-step=6360.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.614761471748352,0.614761471748352,0.3266684114933014,0.4433569610118866,0.4433569610118866,0.134567454457283,32,4,2,4,64,64,512,9.4445184096694,6689.396420381963,6698.840938791633,False
gf,res,ECG5000,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=41-step=2226.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5162016153335571,0.5162016153335571,0.2887095212936401,0.1033862084150314,0.1033862084150314,0.1206781566143035,32,4,2,4,64,64,512,12.428953301161528,7208.788780465722,7221.217733766884,
gf,res,ECG5000,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG5000_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=19-step=1060.ckpt,143428,143428,training/finetune/ECG5000_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5171017050743103,0.5171017050743103,0.2936526536941528,0.0392620079219341,0.0392620079219341,0.1169274672865867,32,4,2,4,64,64,512,10.477248035371304,10214.49290113151,10224.970149166882,True
