mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
gf,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=18-step=5130.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5352675318717957,0.5352675318717957,0.3642582297325134,0.545659601688385,0.545659601688385,0.3451975882053375,32,32,2,4,200,768,768,8.653193816542625,17634.266628459096,17642.91982227564
gf,res,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=25-step=7020.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5338776707649231,0.5338776707649231,0.3644370436668396,0.5300359129905701,0.5300359129905701,0.3454862236976623,32,32,2,4,200,768,768,10.74279187619686,20338.864453364164,20349.60724524036
gf,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=18-step=5130-v1.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5376129150390625,0.5376129150390625,0.3646937608718872,0.5581084489822388,0.5581084489822388,0.3436641991138458,32,32,2,4,200,768,768,6.148805156350136,32391.98777322471,32398.13657838106
gf,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=69-step=2380.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5670391321182251,0.5670391321182251,0.3476474583148956,0.3663815557956695,0.3663815557956695,0.3005782663822174,32,4,2,4,96,96,768,10.181712184101343,1819.022944673896,1829.2046568579967
gf,res,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=109-step=3740.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5307262539863586,0.5307262539863586,0.345789223909378,0.359050452709198,0.359050452709198,0.2888121306896209,32,4,2,4,96,96,768,10.357065860182049,2250.8100264184177,2261.1670922786
gf,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=3842.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5872905254364014,0.5872905254364014,0.3583099246025085,0.4163030087947845,0.4163030087947845,0.3141217231750488,32,4,2,4,96,96,768,8.546281341463327,2926.609451420605,2935.1557327620685
gf,res,SyntheticControl,0.25,120,128,False,10,,3,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=37-step=2584.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.4529944360256195,0.4529944360256195,0.3604495227336883,0.4110018312931061,0.4110018312931061,0.3088901340961456,32,8,2,4,192,192,768,8.244332816451788,3672.570626247674,3680.814959064126
gf,res,SyntheticControl,0.25,120,128,False,10,True,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=74-step=5100.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5208913683891296,0.5208913683891296,0.3639120459556579,0.4701018333435058,0.4701018333435058,0.3174482882022857,32,8,2,4,192,192,768,7.228497918695211,3736.612529262901,3743.841027181596
gf,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=71-step=4896.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.4805013835430145,0.4805013835430145,0.3502635359764099,0.4212725162506103,0.4212725162506103,0.3064045310020447,32,8,2,4,192,192,768,10.175254046916962,3980.4290805608034,3990.60433460772
gf,res,SyntheticControl,0.25,120,128,False,10,False,3,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=53-step=7290.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5418984889984131,0.5418984889984131,0.3604479432106018,0.4970340132713318,0.4970340132713318,0.3365621268749237,32,16,2,4,200,384,768,8.027256939560175,7787.023017436266,7795.050274375826
