mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,cnn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=97-step=28224.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6018722057342529,0.6018722057342529,0.3349521458148956,0.5593419075012207,0.5593419075012207,0.2642971277236938,32,32,2,4,200,384,384,16.885669203475118,7691.723887532949,7708.609556736425,
df,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=116-step=33696.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7399348020553589,0.7399348020553589,0.4246013760566711,0.7207098007202148,0.7207098007202148,0.3723709881305694,32,32,2,4,200,384,384,26.934462185949087,8705.388396130875,8732.322858316824,
df,cnn,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=110-step=31968.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6700325608253479,0.6700325608253479,0.359024703502655,0.6850091814994812,0.6850091814994812,0.3111461699008941,32,32,2,4,200,384,384,39.68018825352192,16494.71119256504,16534.39138081856,
df,cnn,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=109-step=31680.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7159267067909241,0.7159267067909241,0.3861514329910278,0.7099691033363342,0.7099691033363342,0.3392133712768554,32,32,2,4,200,384,384,22.98266232199967,16232.935201348737,16255.917863670737,
df,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=111-step=4032.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7786561250686646,0.7786561250686646,0.2739880084991455,0.6861518025398254,0.6861518025398254,0.3876493275165558,32,4,2,4,48,48,384,17.473685070872307,254.7074185460806,272.1811036169529,False
df,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=118-step=4284.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7101449370384216,0.7101449370384216,0.238626942038536,0.6197925209999084,0.6197925209999084,0.3599053025245666,32,4,2,4,48,48,384,30.72973340749741,431.4944532960653,462.22418670356274,
df,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=75-step=2736.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7911726236343384,0.7911726236343384,0.266031414270401,0.7525111436843872,0.7525111436843872,0.3968110978603363,32,4,2,4,48,48,384,24.84112344868481,384.88609960116446,409.7272230498493,True
df,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=83-step=6048.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.651931881904602,0.651931881904602,0.2969383895397186,0.6952607035636902,0.6952607035636902,0.4046477377414703,32,8,2,4,96,96,384,16.317709418013692,589.6744995042682,605.9922089222819,True
df,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=70-step=5112.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6499672532081604,0.6499672532081604,0.2926695942878723,0.6760252118110657,0.6760252118110657,0.4026155769824981,32,8,2,4,96,96,384,17.215525900945067,743.0865640435368,760.3020899444818,False
df,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=114-step=8280.ckpt,237239,237239,training/finetune/CBF_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6034708619117737,0.6034708619117737,0.3224526345729828,0.6003110408782959,0.6003110408782959,0.3731225430965423,32,8,2,4,96,96,384,31.97527151927352,1769.8771683909,1801.8524399101727,
