mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,cnn,Trace,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=118-step=49147.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7344815731048584,0.7344815731048584,0.1585910022258758,0.6529862284660339,0.6529862284660339,0.135486364364624,32,32,2,4,200,256,256,31.68040461651981,11005.640673043206,11037.321077659726,
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=119-step=49560.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7652144432067871,0.7652144432067871,0.226439356803894,0.6304866075515747,0.6304866075515747,0.1733525991439819,32,32,2,4,200,256,256,35.995225969236344,10335.946317899972,10371.941543869209,
df,cnn,Trace,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=46669.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7706828713417053,0.7706828713417053,0.1674597114324569,0.7006133198738098,0.7006133198738098,0.141855850815773,32,32,2,4,200,256,256,44.50078764185309,33367.75169040635,33412.252478048205,
df,cnn,Trace,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=80-step=33453.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.802523136138916,0.802523136138916,0.2339842468500137,0.6594046354293823,0.6594046354293823,0.1475508660078048,32,32,2,4,200,256,256,58.13325247913599,55024.73959353752,55082.87284601666,
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=19-step=1040.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.839138388633728,0.839138388633728,0.1906605809926986,0.781074583530426,0.781074583530426,0.1306128501892089,32,4,2,4,32,32,256,57.309564128518105,1877.506442464888,1934.8160065934064,
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=34-step=1820.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.8868011236190796,0.8868011236190796,0.2928469777107239,0.809027373790741,0.809027373790741,0.1685336232185363,32,4,2,4,32,32,256,49.11474720388651,1947.5345949567848,1996.649342160672,False
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=65-step=6798.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.8544043898582458,0.8544043898582458,0.3477005660533905,0.7720349431037903,0.7720349431037903,0.1850735545158386,32,8,2,4,64,64,256,34.67277842387557,1189.8627056740224,1224.535484097898,
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=14-step=780.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.8918423652648926,0.8918423652648926,0.2822441160678863,0.7947072982788086,0.7947072982788086,0.1780788749456405,32,4,2,4,32,32,256,52.549720745533705,1854.7262316681445,1907.2759524136784,True
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=4-step=515.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.8060246706008911,0.8060246706008911,0.3424255549907684,0.7850419282913208,0.7850419282913208,0.1839054971933365,32,8,2,4,64,64,256,33.00049405917525,1198.9009996168315,1231.9014936760068,True
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=17-step=1854.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.8267914056777954,0.8267914056777954,0.301824152469635,0.7581151127815247,0.7581151127815247,0.1840719133615493,32,8,2,4,64,64,256,65.4428245536983,2828.677298590541,2894.120123144239,False
