mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,res,GunPoint,0.25,120,128,False,10,3,1,0.0001,0,False,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=107-step=24300.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5727689862251282,0.5727689862251282,0.2629688382148742,0.5961827039718628,0.5961827039718628,0.2755802273750305,32,32,2,4,200,256,256,12.223624048754573,14765.983408946544,14778.2070329953,
df,res,GunPoint,0.25,120,128,False,10,1,1,0.0001,0,False,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=10-step=2475.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5674690008163452,0.5674690008163452,0.2663502395153045,0.5969855785369873,0.5969855785369873,0.2362463772296905,32,32,2,4,200,256,256,12.571200268343093,14779.616010695696,14792.18721096404,
df,res,GunPoint,0.25,120,128,False,10,5,1,0.0001,0,False,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=39-step=9000.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5574215054512024,0.5574215054512024,0.2766021490097046,0.6030918955802917,0.6030918955802917,0.2830478549003601,32,32,2,4,200,256,256,16.364665960893035,41886.78976320848,41903.15442916937,
df,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=61-step=13950.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5490503311157227,0.5490503311157227,0.2584941685199737,0.5918340086936951,0.5918340086936951,0.2655020654201507,32,32,2,4,200,256,256,19.90048759616912,42622.439045326784,42642.33953292295,
df,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=60-step=1708.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7673434615135193,0.7673434615135193,0.405122309923172,0.5559315085411072,0.5559315085411072,0.2334379851818084,32,4,2,4,32,32,256,13.078008277341723,1551.0081683136525,1564.086176590994,True
df,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=46-step=1316.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.750423014163971,0.750423014163971,0.3939451277256012,0.581518292427063,0.581518292427063,0.2675443887710571,32,4,2,4,32,32,256,19.44923957809806,3305.005848761648,3324.455088339746,False
df,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=96-step=5432.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5545759797096252,0.5545759797096252,0.4296590983867645,0.6071990728378296,0.6071990728378296,0.2864182591438293,32,8,2,4,64,64,256,12.754653992131352,3082.832494873553,3095.587148865685,False
df,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=27-step=1568.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5793451070785522,0.5793451070785522,0.4639678299427032,0.6118165850639343,0.6118165850639343,0.2684351205825805,32,8,2,4,64,64,256,11.859979616478086,3126.007442424074,3137.867422040552,
df,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=50-step=1428.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.78764808177948,0.78764808177948,0.378662109375,0.5449355244636536,0.5449355244636536,0.2652706205844879,32,4,2,4,32,32,256,21.15674052760005,5492.799486720935,5513.956227248535,
df,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/GunPoint_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=107-step=6048.ckpt,141738,141738,training/finetune/GunPoint_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6293030977249146,0.6293030977249146,0.4221138060092926,0.6081435680389404,0.6081435680389404,0.2942988872528076,32,8,2,4,64,64,256,18.22812995314598,13929.821055941284,13948.04918589443,True
