mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,res,SyntheticControl,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=54-step=14850.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3713640570640564,0.3713640570640564,0.347696989774704,0.3592459857463836,0.3592459857463836,0.3115757703781128,32,32,2,4,200,768,768,19.01188305579126,17263.396976552904,17282.408859608695,
df,res,SyntheticControl,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=3-step=1080.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3191969990730285,0.3191969990730285,0.3224641680717468,0.2955059111118316,0.2955059111118316,0.296277791261673,32,32,2,4,200,768,768,21.161071812734008,17785.57954079099,17806.740612603724,
df,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=18-step=5130.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3650972843170166,0.3650972843170166,0.3397485017776489,0.3748015761375427,0.3748015761375427,0.3119786381721496,32,32,2,4,200,768,768,28.12331039085984,33740.37971185148,33768.50302224234,
df,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=3-step=1080.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.2889932096004486,0.2889932096004486,0.307191789150238,0.2699304223060608,0.2699304223060608,0.2718977034091949,32,32,2,4,200,768,768,30.40653387643397,38960.67940607853,38991.085939954966,
df,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=83-step=2856.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3495077490806579,0.3495077490806579,0.3022351562976837,0.2264018207788467,0.2264018207788467,0.2417336404323578,32,4,2,4,96,96,768,22.45641670934856,1776.673509163782,1799.1299258731306,
df,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=99-step=3400.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.4416314959526062,0.4416314959526062,0.3383722603321075,0.2844085097312927,0.2844085097312927,0.2611547410488128,32,4,2,4,96,96,768,25.43263240903616,3227.952889408916,3253.3855218179524,False
df,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=82-step=2822.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3895921111106872,0.3895921111106872,0.3243489861488342,0.2803656160831451,0.2803656160831451,0.2508041560649872,32,4,2,4,96,96,768,16.219598347321153,3248.95275936462,3265.172357711941,True
df,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=36-step=2516.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3406708538532257,0.3406708538532257,0.2976222038269043,0.3355751633644104,0.3355751633644104,0.2807804346084595,32,8,2,4,192,192,768,16.234861275181174,6112.839358329773,6129.074219604954,True
df,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=56-step=3876.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.2921034097671509,0.2921034097671509,0.2666419446468353,0.2564416229724884,0.2564416229724884,0.2612923979759216,32,8,2,4,192,192,768,37.86832047253847,6726.08639988862,6763.954720361158,
df,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=71-step=9720.ckpt,145118,145118,training/finetune/SyntheticControl_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.3211424648761749,0.3211424648761749,0.3218730390071869,0.2956660091876983,0.2956660091876983,0.2733368575572967,32,16,2,4,200,384,768,22.407380869612098,7603.489660708234,7625.897041577846,
