mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,res,Trace,0.25,120,128,False,10,1,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=118-step=49147.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6230607628822327,0.6230607628822327,0.1635539382696151,0.5354525446891785,0.5354525446891785,0.1267969608306884,32,32,2,4,200,256,256,39.36443261429668,58800.75823919289,58840.12267180719,
df,res,Trace,0.25,120,128,False,10,5,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=109-step=45430.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7244555354118347,0.7244555354118347,0.1932910680770874,0.5121294260025024,0.5121294260025024,0.1252500116825103,32,32,2,4,200,256,256,32.19046570174396,59195.94127577497,59228.13174147671,
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=6-step=2891.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6602206826210022,0.6602206826210022,0.2006213665008545,0.5493819117546082,0.5493819117546082,0.1235981807112693,32,32,2,4,200,256,256,34.83059746865183,59304.7345059053,59339.56510337396,
df,res,Trace,0.25,120,128,False,10,3,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=68-step=28497.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6635971069335938,0.6635971069335938,0.1542052626609802,0.5192381143569946,0.5192381143569946,0.1196158677339553,32,32,2,4,200,256,256,30.134598180651665,63399.65633655898,63429.790934739634,
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=26-step=1404.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.829972505569458,0.829972505569458,0.2845415472984314,0.6911444664001465,0.6911444664001465,0.1539437025785446,32,4,2,4,32,32,256,38.74455709569156,14321.5765810702,14360.321138165891,True
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=76-step=4004.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.8423464894294739,0.8423464894294739,0.2766999304294586,0.6971015930175781,0.6971015930175781,0.1443174630403518,32,4,2,4,32,32,256,34.154504645615816,14422.849446248263,14457.00395089388,
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=44-step=2340.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.845554530620575,0.845554530620575,0.2745257318019867,0.710848867893219,0.710848867893219,0.1317718029022216,32,4,2,4,32,32,256,51.14070224016905,15326.189746022224,15377.330448262392,False
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=40-step=4223.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7272934913635254,0.7272934913635254,0.2928639650344848,0.7522391676902771,0.7522391676902771,0.1942687034606933,32,8,2,4,64,64,256,75.80229790508747,26946.373441427942,27022.17573933304,True
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=35-step=3708.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7770424485206604,0.7770424485206604,0.2590112686157226,0.7289063930511475,0.7289063930511475,0.2049471735954284,32,8,2,4,64,64,256,61.89318214915693,44965.81741859391,45027.71060074307,False
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/Trace_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=44-step=9270.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7162377834320068,0.7162377834320068,0.198542520403862,0.5723191499710083,0.5723191499710083,0.1475987732410431,32,16,2,4,128,128,256,47.85339253209531,45419.83667549491,45467.690068027005,False
