mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,cnn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=28-step=8352.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4061864018440246,0.4061864018440246,0.2700567245483398,0.3918480575084686,0.3918480575084686,0.2215001732110977,32,32,2,4,200,384,384,4.957089385017753,5267.142503580079,5272.099592965096,
gf,cnn,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=16-step=4896.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5635179281234741,0.5635179281234741,0.3368838429450989,0.5636904239654541,0.5636904239654541,0.2726922035217285,32,32,2,4,200,384,384,4.9414152186363935,5343.455232605338,5348.396647823975,
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=86-step=25056.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6238793730735779,0.6238793730735779,0.4052741825580597,0.604293167591095,0.604293167591095,0.3328919410705566,32,32,2,4,200,384,384,5.120880026370287,6851.707120465115,6856.828000491485,
gf,cnn,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=29-step=8640.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.590305507183075,0.590305507183075,0.3734115660190582,0.5735645294189453,0.5735645294189453,0.300586074590683,32,32,2,4,200,384,384,7.132654882967472,11240.642040591689,11247.774695474654,
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=117-step=4248.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6363636255264282,0.6363636255264282,0.2605448365211487,0.5713815093040466,0.5713815093040466,0.322178304195404,32,4,2,4,48,48,384,8.403994914144278,411.6228703018278,420.02686521597207,
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=68-step=2484.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6851119995117188,0.6851119995117188,0.2729943394660949,0.6011855602264404,0.6011855602264404,0.3254358768463135,32,4,2,4,48,48,384,4.9497679360210896,243.5094990488141,248.45926698483527,False
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=34-step=2520.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.708906352519989,0.708906352519989,0.3135339319705963,0.6060407757759094,0.6060407757759094,0.3336063623428345,32,8,2,4,96,96,384,4.991347892209888,592.0420817118138,597.0334296040237,False
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=110-step=3996.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6561264991760254,0.6561264991760254,0.2649099826812744,0.598715603351593,0.598715603351593,0.3253534138202667,32,4,2,4,48,48,384,9.731430664658546,778.9972588047385,788.7286894693971,True
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=35-step=2592.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.7098886966705322,0.7098886966705322,0.3036521077156067,0.6336252689361572,0.6336252689361572,0.3419243991374969,32,8,2,4,96,96,384,7.444629928097129,995.8346368744968,1003.279266802594,
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=38-step=2808.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.7239685654640198,0.7239685654640198,0.312069833278656,0.6195465326309204,0.6195465326309204,0.3388388454914093,32,8,2,4,96,96,384,5.220811067149043,837.6054258663207,842.8262369334698,True
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/CBF_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=32-step=4752.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.7265752553939819,0.7265752553939819,0.3153353035449981,0.5953887104988098,0.5953887104988098,0.3264216184616089,32,16,2,4,192,192,384,4.730702703818679,1682.6134786382318,1687.3441813420504,True
