mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,cnn,ECG200,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=118-step=17136.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6257938742637634,0.6257938742637634,0.4650982618331909,0.5322319865226746,0.5322319865226746,0.2245329171419143,32,32,2,4,200,256,256,5.537452848628163,2306.704968485981,2312.2424213346094,
gf,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=105-step=15264.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6575253009796143,0.6575253009796143,0.5040205121040344,0.5322808027267456,0.5322808027267456,0.2194866240024566,32,32,2,4,200,256,256,4.788113035261631,1569.8544783629477,1574.642591398209,
gf,cnn,ECG200,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=62-step=9072.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6497718095779419,0.6497718095779419,0.5069935321807861,0.4921487867832184,0.4921487867832184,0.25301194190979,32,32,2,4,200,256,256,5.303155681118369,2289.630700405687,2294.933856086805,
gf,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,False,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=112-step=16272.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.672157883644104,0.672157883644104,0.5149073004722595,0.5020105242729187,0.5020105242729187,0.2310234755277633,32,32,2,4,200,256,256,10.035164007917048,9653.886175869033,9663.92133987695,
gf,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=118-step=2142.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6359999775886536,0.6359999775886536,0.3456384241580963,0.6594468355178833,0.6594468355178833,0.2098937034606933,32,4,2,4,32,32,256,9.577736265957355,206.69594603404403,216.27368230000133,
gf,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=118-step=2142-v1.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.753333330154419,0.753333330154419,0.4249605238437652,0.5904698371887207,0.5904698371887207,0.2545607686042785,32,4,2,4,32,32,256,10.780644657090306,218.51640141941607,229.2970460765064,False
gf,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=118-step=2142-v2.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6946666836738586,0.6946666836738586,0.3441429138183594,0.6291236281394958,0.6291236281394958,0.25047567486763,32,4,2,4,32,32,256,9.280178839340806,340.1053205039352,349.385499343276,True
gf,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=97-step=3528.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6719367504119873,0.6719367504119873,0.636683464050293,0.5018936395645142,0.5018936395645142,0.2191485911607742,32,8,2,4,64,64,256,5.656056204810739,335.24656412005424,340.902620324865,
gf,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=101-step=3672.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.7292490005493164,0.7292490005493164,0.6401981711387634,0.4355343282222748,0.4355343282222748,0.277288943529129,32,8,2,4,64,64,256,4.511391723528504,220.4043783787638,224.9157701022923,True
gf,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/ECG200_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=110-step=3996.ckpt,185884,185884,training/finetune/ECG200_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.7351778745651245,0.7351778745651245,0.6563008427619934,0.5419067740440369,0.5419067740440369,0.2837245464324951,32,8,2,4,64,64,256,5.109369112178683,338.34659586660564,343.4559649787843,False
