mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,cnn,SyntheticControl,0.25,120,128,False,10,5,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=42-step=11610.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4362562000751495,0.4362562000751495,0.3410998582839966,0.4242196083068847,0.4242196083068847,0.3127878904342651,32,32,2,4,200,768,768,9.631007920950651,7475.120199486613,7484.751207407564,
gf,cnn,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=116-step=31590.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5062543153762817,0.5062543153762817,0.3464291393756866,0.5137438178062439,0.5137438178062439,0.3206279575824737,32,32,2,4,200,768,768,8.957003546878695,8267.313101483509,8276.270105030388,
gf,cnn,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=15-step=4320.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3688923716545105,0.3688923716545105,0.32711261510849,0.3468857407569885,0.3468857407569885,0.2858436405658722,32,32,2,4,200,768,768,9.46489656344056,7879.14298213087,7888.607878694311,
gf,cnn,SyntheticControl,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=40-step=11070.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5049058198928833,0.5049058198928833,0.3672772049903869,0.5069647431373596,0.5069647431373596,0.331154316663742,32,32,2,4,200,768,768,14.131966540589929,20898.13113162294,20912.26309816353,
gf,cnn,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=81-step=2788.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.2848101258277893,0.2848101258277893,0.3106687664985657,0.2677096128463745,0.2677096128463745,0.24812051653862,32,4,2,4,96,96,768,10.587348267436028,392.9254643768072,403.5128126442432,
gf,cnn,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=117-step=4012.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.297468364238739,0.297468364238739,0.3237927258014679,0.2603269517421722,0.2603269517421722,0.2594820857048034,32,4,2,4,96,96,768,9.23469889163971,386.7830530945212,396.0177519861609,False
gf,cnn,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=85-step=2924.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.297468364238739,0.297468364238739,0.3206407129764557,0.2678853869438171,0.2678853869438171,0.2628164887428283,32,4,2,4,96,96,768,11.753344839438796,568.8940999340266,580.6474447734654,True
gf,cnn,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=66-step=4556.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3990216553211212,0.3990216553211212,0.3374552428722381,0.3190671801567077,0.3190671801567077,0.2816138863563537,32,8,2,4,192,192,768,9.44516402669251,1033.4550366643816,1042.900200691074,
gf,cnn,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=20-step=1428.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3990216553211212,0.3990216553211212,0.3319528698921203,0.3215127885341644,0.3215127885341644,0.2828510105609894,32,8,2,4,192,192,768,9.38826666213572,1434.064671523869,1443.4529381860048,True
gf,cnn,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=20-step=1428-v1.ckpt,109704,109704,training/finetune/SyntheticControl_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4039133489131927,0.4039133489131927,0.3378856480121612,0.3122543394565582,0.3122543394565582,0.2837148010730743,32,8,2,4,192,192,768,13.87681195512414,1547.3740051742643,1561.2508171293885,False
