mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,cnn,Trace,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=2-step=1239.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5771373510360718,0.5771373510360718,0.1550889313220977,0.5068311095237732,0.5068311095237732,0.1106457263231277,32,32,2,4,200,256,256,5.343127993866801,10524.92165377224,10530.264781766104,
gf,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=1-step=826.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5862245559692383,0.5862245559692383,0.153437852859497,0.5188152194023132,0.5188152194023132,0.1186560243368148,32,32,2,4,200,256,256,5.123588056303561,10297.513758640736,10302.63734669704,
gf,cnn,Trace,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=2-step=1239-v1.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.582532525062561,0.582532525062561,0.1521335691213607,0.5285992622375488,0.5285992622375488,0.1198495998978614,32,32,2,4,200,256,256,8.881800277158618,19189.13523781486,19198.017038092017,
gf,cnn,Trace,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=3-step=1652.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6074330806732178,0.6074330806732178,0.1625591516494751,0.5121206045150757,0.5121206045150757,0.1046925038099289,32,32,2,4,200,256,256,9.445045804604888,20985.79209430329,20995.2371401079,
gf,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=11-step=624.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5902841687202454,0.5902841687202454,0.1717101782560348,0.5205636620521545,0.5205636620521545,0.1097799018025398,32,4,2,4,32,32,256,5.025259339250624,497.4100669389591,502.4353262782097,
gf,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=7-step=416-v1.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6196150183677673,0.6196150183677673,0.1902001202106475,0.527208149433136,0.527208149433136,0.1170301884412765,32,4,2,4,32,32,256,5.191594459116459,500.8270343397744,506.01862879889086,True
gf,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=1-step=104.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5989917516708374,0.5989917516708374,0.1395559012889862,0.5056707262992859,0.5056707262992859,0.1121342703700065,32,4,2,4,32,32,256,5.478737598285079,598.5055735730566,603.9843111713417,False
gf,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=3-step=412.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6325878500938416,0.6325878500938416,0.1928655803203582,0.5401334762573242,0.5401334762573242,0.1168336644768714,32,8,2,4,64,64,256,5.233080641832203,1194.3724946980365,1199.605575339869,True
gf,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=0-step=103.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.604518473148346,0.604518473148346,0.2462238222360611,0.498830497264862,0.498830497264862,0.1169190108776092,32,8,2,4,64,64,256,5.023876916151494,1230.383991756942,1235.4078686730936,False
gf,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=4-step=1030.ckpt,467484,467484,training/finetune/Trace_gf_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5422455072402954,0.5422455072402954,0.1312856972217559,0.5208801627159119,0.5208801627159119,0.1175531893968582,32,16,2,4,128,128,256,5.620194607879967,4081.218072942924,4086.838267550804,
