mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,res,ArrowHead,0.25,120,128,False,10,1,1,0.0001,0,False,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=97-step=55370.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.3929356932640075,0.3929356932640075,0.1576358824968338,0.3769551217556,0.3769551217556,0.1289837509393692,32,32,2,4,200,384,384,5.446942295180634,73031.64211182087,73037.08905411605,
gf,res,ArrowHead,0.25,120,128,False,10,3,1,0.0001,0,False,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=4-step=2825-v1.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.4337844550609588,0.4337844550609588,0.1740345954895019,0.442524254322052,0.442524254322052,0.1339994668960571,32,32,2,4,200,384,384,5.688564347103238,78029.09623656794,78034.78480091505,
gf,res,ArrowHead,0.25,120,128,False,10,7,1,0.0001,0,False,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=118-step=67235.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.535883367061615,0.535883367061615,0.2116042822599411,0.5081290006637573,0.5081290006637573,0.1721573323011398,32,32,2,4,200,384,384,7.90644027851522,157213.79308398068,157221.6995242592,
gf,res,ArrowHead,0.25,120,128,False,10,5,1,0.0001,0,False,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=117-step=66670.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5028858780860901,0.5028858780860901,0.1886158585548401,0.4921932518482208,0.4921932518482208,0.1617926210165023,32,32,2,4,200,384,384,15.621372364461422,274919.6233270038,274935.24469936825,
gf,res,ArrowHead,0.25,120,128,False,10,7,1,0.0001,0,False,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=116-step=8307.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.586172342300415,0.586172342300415,0.1451896876096725,0.3940886557102203,0.3940886557102203,0.1337315440177917,32,4,2,4,48,48,384,5.018097999040037,7202.31082300609,7207.32892100513,
gf,res,ArrowHead,0.25,120,128,False,10,7,1,0.0001,0,True,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=115-step=8236.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5791583061218262,0.5791583061218262,0.1449095010757446,0.4003506600856781,0.4003506600856781,0.133519098162651,32,4,2,4,48,48,384,4.851677811937407,6734.114972329,6738.966650140937,True
gf,res,ArrowHead,0.25,120,128,False,10,7,1,0.0001,0,True,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=118-step=8449.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5644622445106506,0.5644622445106506,0.1524232476949691,0.4164648950099945,0.4164648950099945,0.1336087882518768,32,4,2,4,48,48,384,5.202581727877259,7226.5303542569745,7231.732935984852,False
gf,res,ArrowHead,0.25,120,128,False,10,7,1,0.0001,0,False,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=8-step=1269.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5349650382995605,0.5349650382995605,0.1588421016931533,0.3797294497489929,0.3797294497489929,0.1375473439693451,32,8,2,4,96,96,384,5.585436125984415,16243.9192510359,16249.504687161883,
gf,res,ArrowHead,0.25,120,128,False,10,7,1,0.0001,0,True,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=18-step=2679.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.491175502538681,0.491175502538681,0.1393197476863861,0.3619562983512878,0.3619562983512878,0.135589599609375,32,8,2,4,96,96,384,5.25339032500051,14219.492599840974,14224.745990165977,True
gf,res,ArrowHead,0.25,120,128,False,10,7,1,0.0001,0,True,4,120,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=7-step=1128.ckpt,142583,142583,training/finetune/ArrowHead_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.4573759436607361,0.4573759436607361,0.1369553655385971,0.3235379755496979,0.3235379755496979,0.1265918463468551,32,8,2,4,96,96,384,9.990213500335813,28158.79583131522,28168.786044815555,False
