mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=3-step=1152.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6410757899284363,0.6410757899284363,0.3802971541881561,0.6107955574989319,0.6107955574989319,0.3577651679515838,32,32,2,4,200,384,384,7.186278790235519,54726.20889445208,54733.39517324232,
gf,res,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,0,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=3-step=1152-v1.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6809775829315186,0.6809775829315186,0.3826418817043304,0.6487534046173096,0.6487534046173096,0.3510745167732239,32,32,2,4,200,384,384,7.962463796138763,55845.4511084836,55853.41357227974,
gf,res,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,0,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=5-step=1728.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4318274259567261,0.4318274259567261,0.265972375869751,0.3709797263145447,0.3709797263145447,0.235435277223587,32,32,2,4,200,384,384,9.06578484736383,56756.48638613522,56765.55217098258,
gf,res,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,0,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=3-step=1152-v2.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.617019534111023,0.617019534111023,0.3436844646930694,0.6078454256057739,0.6078454256057739,0.3171287178993225,32,32,2,4,200,384,384,8.869190376251936,60393.05697182752,60401.926162203774,
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=64-step=2340.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7009222507476807,0.7009222507476807,0.3018112778663635,0.3708216547966003,0.3708216547966003,0.2425778657197952,32,4,2,4,48,48,384,4.846184723079205,1667.5608640387654,1672.4070487618446,
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=87-step=3168.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6673254370689392,0.6673254370689392,0.3065241575241089,0.3523793816566467,0.3523793816566467,0.2382352650165558,32,4,2,4,48,48,384,4.875940248370171,1630.3328773323449,1635.2088175807148,False
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=68-step=2484.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6798418760299683,0.6798418760299683,0.2712908685207367,0.4297711253166199,0.4297711253166199,0.2938960790634155,32,4,2,4,48,48,384,4.7118343487381935,1646.7485235165805,1651.4603578653189,True
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=48-step=3528.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5834970474243164,0.5834970474243164,0.2696672081947326,0.4543668627738952,0.4543668627738952,0.2855994403362274,32,8,2,4,96,96,384,4.727007925510407,3454.8653906751424,3459.592398600653,
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=38-step=2808.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6247544288635254,0.6247544288635254,0.3071165680885315,0.4510927498340606,0.4510927498340606,0.2821190059185028,32,8,2,4,96,96,384,4.650062933564186,3477.3802528083324,3482.0303157418966,False
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=33-step=2448.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.626391589641571,0.626391589641571,0.2814752757549286,0.526070237159729,0.526070237159729,0.3186447322368622,32,8,2,4,96,96,384,4.636526517570019,3656.587217973545,3661.223744491115,True
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=16-step=2448.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6516487002372742,0.6516487002372742,0.3126742243766784,0.6019179821014404,0.6019179821014404,0.3639788031578064,32,16,2,4,192,192,384,4.641032677143812,7423.429139317945,7428.070171995088,False
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=14-step=2160.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6604635715484619,0.6604635715484619,0.3049935698509216,0.615221381187439,0.615221381187439,0.3711620569229126,32,16,2,4,192,192,384,4.999832030385733,7493.414298707619,7498.414130738005,True
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=17-step=2592.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6252040266990662,0.6252040266990662,0.2918359637260437,0.5795552134513855,0.5795552134513855,0.3403181731700897,32,16,2,4,192,192,384,4.607359739020467,7839.585463842377,7844.192823581397,
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=4-step=1440.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6527302265167236,0.6527302265167236,0.3746368288993835,0.6327705979347229,0.6327705979347229,0.3718451261520386,32,32,2,4,200,384,384,5.622226715087891,33175.28736304864,33180.90958976373,True
gf,res,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=6-step=2016.ckpt,142583,142583,training/finetune/CBF_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6638956665992737,0.6638956665992737,0.3801786005496979,0.6470680236816406,0.6470680236816406,0.376334547996521,32,32,2,4,200,384,384,5.601974284276366,33773.102730171755,33778.70470445603,False
