mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,res,GunPoint,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=60-step=13725.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.52589350938797,0.52589350938797,0.2521023154258728,0.5284270644187927,0.5284270644187927,0.232454776763916,32,32,2,4,200,256,256,5.124128244817257,14727.035181527956,14732.159309772776,
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=101-step=22950.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5760801434516907,0.5760801434516907,0.3046872913837433,0.6284874081611633,0.6284874081611633,0.2906937599182129,32,32,2,4,200,256,256,4.836377697065473,14156.016871312631,14160.8532490097,
gf,res,GunPoint,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=98-step=22275.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5538750290870667,0.5538750290870667,0.2980513274669647,0.5966809988021851,0.5966809988021851,0.2811468839645386,32,32,2,4,200,256,256,7.86960181593895,23263.34629234299,23271.21589415893,
gf,res,GunPoint,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=90-step=20475.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5264803767204285,0.5264803767204285,0.250784695148468,0.516200065612793,0.516200065612793,0.2487179189920425,32,32,2,4,200,256,256,8.580526122823358,49939.9230739288,49948.50360005163,
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=89-step=2520.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.9433164000511168,0.9433164000511168,0.5398212671279907,0.5326707363128662,0.5326707363128662,0.2465206235647201,32,4,2,4,32,32,256,7.680160170421004,3045.637052129954,3053.317212300375,True
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=3164.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.9103214740753174,0.9103214740753174,0.5385441184043884,0.544089674949646,0.544089674949646,0.2292340099811554,32,4,2,4,32,32,256,10.958098869770764,6159.80340972729,6170.761508597061,
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=94-step=5320.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5646515488624573,0.5646515488624573,0.3335956037044525,0.5301710367202759,0.5301710367202759,0.2449600547552108,32,8,2,4,64,64,256,7.249017402529716,9354.017861388624,9361.266878791152,True
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=59-step=3360.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5755667686462402,0.5755667686462402,0.3501911461353302,0.523034930229187,0.523034930229187,0.2436440885066986,32,8,2,4,64,64,256,14.512394992634654,13069.315538180992,13083.827933173628,
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=43-step=2464.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5365239381790161,0.5365239381790161,0.3631305694580078,0.5070836544036865,0.5070836544036865,0.2403562068939209,32,8,2,4,64,64,256,11.44930330105126,15987.00325088948,15998.452554190531,False
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=113-step=3192.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.9323180913925172,0.9323180913925172,0.5414285063743591,0.5362656116485596,0.5362656116485596,0.2387067228555679,32,4,2,4,32,32,256,15.847722610458732,6476.193790597841,6492.0415132083,False
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=88-step=10057.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7252195477485657,0.7252195477485657,0.3308486342430115,0.623451292514801,0.623451292514801,0.3178757727146148,32,16,2,4,128,128,256,7.668748591095209,31151.124278252944,31158.79302684404,True
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=30-step=3503.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7432036995887756,0.7432036995887756,0.3783027529716491,0.6204715371131897,0.6204715371131897,0.2977844178676605,32,16,2,4,128,128,256,7.342941660434008,31235.562764976174,31242.905706636608,
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=42-step=4859.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7340025305747986,0.7340025305747986,0.3060653805732727,0.6710230708122253,0.6710230708122253,0.3340463042259216,32,16,2,4,128,128,256,7.473683061078191,32721.09601600282,32728.569699063897,False
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=105-step=23850.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5948653817176819,0.5948653817176819,0.3079947531223297,0.6834174394607544,0.6834174394607544,0.2924458980560303,32,32,2,4,200,256,256,12.053906068205832,60055.53520748764,60067.58911355585,True
gf,res,GunPoint,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=99-step=22500.ckpt,141738,141738,training/finetune/GunPoint_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6012314558029175,0.6012314558029175,0.30921807885169983,0.7076079845428467,0.7076079845428467,0.312541127204895,32,32,2,4,200,256,256,11.044330948963761,60160.49906327948,60171.54339422844,False
