mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,res,SyntheticControl,0.25,120,128,False,10,1,1,0.0001,0,False,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=47-step=12960.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5430233478546143,0.5430233478546143,0.379645824432373,0.5189757347106934,0.5189757347106934,0.3489605784416199,32,32,2,4,200,768,768,8.399828845635056,15667.116009389982,15675.515838235617,
gf,res,SyntheticControl,0.25,120,128,False,10,3,1,0.0001,0,False,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=57-step=15660.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.536483645439148,0.536483645439148,0.3638902902603149,0.4724705517292022,0.4724705517292022,0.3365442156791687,32,32,2,4,200,768,768,6.839710343629122,16055.782728787512,16062.62243913114,
gf,res,SyntheticControl,0.25,120,128,False,10,5,1,0.0001,0,False,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=10-step=2970.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4483357965946197,0.4483357965946197,0.3464547991752624,0.4383630454540252,0.4383630454540252,0.3249763250350952,32,32,2,4,200,768,768,7.753623565658927,17381.419105524197,17389.172729089856,
gf,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=11-step=3240-v1.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.3965397179126739,0.3965397179126739,0.3337498605251312,0.3779025971889496,0.3779025971889496,0.295952171087265,32,32,2,4,200,768,768,7.725553335621953,18009.828526215628,18017.55407955125,
gf,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=19-step=680.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.3382559716701507,0.3382559716701507,0.3258976936340332,0.2852874100208282,0.2852874100208282,0.2768268585205078,32,4,2,4,96,96,768,7.716898748651147,1537.2448661401868,1544.961764888838,True
gf,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=57-step=1972.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.3037974536418915,0.3037974536418915,0.2914706766605377,0.304271399974823,0.304271399974823,0.2658758461475372,32,4,2,4,96,96,768,9.785146391019223,3134.6946011781693,3144.4797475691885,
gf,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=105-step=3604.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.3347398042678833,0.3347398042678833,0.2871639430522918,0.2861662805080414,0.2861662805080414,0.2426303327083587,32,4,2,4,96,96,768,8.830703118816018,3304.13355595246,3312.964259071276,False
gf,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=12-step=884.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.2749825417995453,0.2749825417995453,0.3077998757362366,0.3237837255001068,0.3237837255001068,0.2852538228034973,32,8,2,4,192,192,768,8.299559328705072,3855.912856601178,3864.212415929884,False
gf,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=9-step=680.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.286512941122055,0.286512941122055,0.318420946598053,0.2966198027133941,0.2966198027133941,0.2811239361763,32,8,2,4,192,192,768,8.682809621095657,4418.960147291422,4427.642956912518,True
gf,res,SyntheticControl,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=18-step=1292.ckpt,145118,145118,training/finetune/SyntheticControl_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.2704402506351471,0.2704402506351471,0.3153653442859649,0.3127784132957458,0.3127784132957458,0.2812040746212005,32,8,2,4,192,192,768,9.556799924001098,6899.7449754644185,6909.30177538842,
