mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,res,Trace,0.25,120,128,False,10,5,1,0.0001,0,False,2,120,training/finetune/Trace_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=0-step=413.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5804855823516846,0.5804855823516846,0.1309576332569122,0.5477078557014465,0.5477078557014465,0.1132288202643394,32,32,2,4,200,256,256,5.619941832497716,67010.2244468648,67015.8443886973,
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/Trace_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=0-step=413-v3.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5915140509605408,0.5915140509605408,0.1313843727111816,0.5542973875999451,0.5542973875999451,0.1134343519806861,32,32,2,4,200,256,256,6.084771438036114,66882.11360236118,66888.19837379921,
gf,res,Trace,0.25,120,128,False,10,3,1,0.0001,0,False,2,120,training/finetune/Trace_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=55-step=23128.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5767394304275513,0.5767394304275513,0.1298131942749023,0.5290436148643494,0.5290436148643494,0.1082363277673721,32,32,2,4,200,256,256,14.40896757133305,159615.66198338568,159630.07095095702,
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/Trace_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=58-step=6077.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6734367609024048,0.6734367609024048,0.2115154713392257,0.5524559020996094,0.5524559020996094,0.1115018650889396,32,8,2,4,64,64,256,4.900215674191713,11732.661483787,11737.561699461192,
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/Trace_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=90-step=4732.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6837763786315918,0.6837763786315918,0.1872495710849762,0.5572230219841003,0.5572230219841003,0.1119690313935279,32,4,2,4,32,32,256,12.215481974184511,13675.5927644372,13687.808246411383,False
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/Trace_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=77-step=8034.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6894112229347229,0.6894112229347229,0.2009316831827163,0.5469793081283569,0.5469793081283569,0.1062383204698562,32,8,2,4,64,64,256,5.266201891005039,12274.188025698066,12279.45422758907,True
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/Trace_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=65-step=3432.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.7140238285064697,0.7140238285064697,0.1480957716703415,0.5701683759689331,0.5701683759689331,0.1199608147144317,32,4,2,4,32,32,256,11.241058386862278,25054.313710927963,25065.554769314826,True
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/Trace_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=33-step=7004.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5176497101783752,0.5176497101783752,0.1526784598827362,0.6161860823631287,0.6161860823631287,0.115841120481491,32,16,2,4,128,128,256,4.926995828747749,24567.27093605697,24572.19793188572,
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,2,120,training/finetune/Trace_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=37-step=1976-v1.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.6759853363037109,0.6759853363037109,0.1485558152198791,0.5749799609184265,0.5749799609184265,0.1162231341004371,32,4,2,4,32,32,256,11.920136835426092,29380.34116204828,29392.261298883703,
gf,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,True,2,120,training/finetune/Trace_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=53-step=11124.ckpt,141738,141738,training/finetune/Trace_gf_res/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5825552344322205,0.5825552344322205,0.1515607684850692,0.5820831656455994,0.5820831656455994,0.1147159337997436,32,16,2,4,128,128,256,5.106094432994723,24236.02549909707,24241.131593530063,False
